ལས་ཀྱི་རྣམ་པར་འགྱུར་བ་ཞེས་བྱ་བའི་ཆོས་ཀྱི་གཞུང་། བམ་པོ་གཅིག་གོ། ། ||| The Dharma Scripture “Exposition of Karma” in one fascicle
མ་རབས་ཀྱིས་བསོད་ནམས་མ་བྱས་པ་དེ་ལྟ་བུའི་གང་ཟག་ནི་ལུས་དང་སེམས་གཉིས་ཀ་མི་བདེ་བའོ། ། ||| Ordinary, worldly persons who have not accumulated any merit. Such persons are unwell both in their minds and in their bodies.
ཇི་ལྟར་གང་ཟག་ལས་འདི་ལྟ་བུ་འདུས་པས་ན་ངན་པའི་སར་སྐྱེས་ལ་གཟུགས་ལེགས་པ་དང་། བཟང་པོ་དང་། སྡུག་གུ་དང་། ཁ་དོག་མཛེས་པ་དང་། མདོག་སྣུམ་པ་དང་མཐོང་ན་དགའ་བའི་ལས་གང་ཞེ་ན། ||| “What kind of action, when accumulated, leads a person to be born into an inferior form of existence with a body that is healthy, pleasant, pretty, beautiful in color, with a brilliant complexion, and beautiful to behold?
ཆགས་པ་གཡོས་ཏེ་ཚུལ་ཁྲིམས་ཉམས་པ་དང་ལྡན་པའི་གང་ཟག་ནི་ངན་པའི་སར་སྐྱེས་ལ་གཟུགས་ལེགས་པ་དང་། བཟང་པོ་དང་སྡུག་གུར་འགྱུར་རོ། ། ||| A person who, motivated by desire, has violated their moral discipline, when reborn in the lower realms, will have a body that is healthy, pleasant, and pretty.
ཇི་ལྟར་གང་ཟག་ལས་འདི་ལྟ་བུ་འདུས་པས་ན་ངན་པའི་སར་སྐྱེས་ལ། གཟུགས་ངན་པ་དང་། ལུས་རྩུབ་པ་དང་། མི་སྡུག་པ་དང་། མཐོང་ན་མི་སྡུག་པར་འགྱུར་བའི་ལས་གང་ཞེ་ན། ||| “What kind of action, when accumulated, leads a person to be born into an inferior form of existence with a body that is inferior, coarse, ugly, and revolting?
ཁྲོ་བ་སྐྱེས་ཤིང་ཁྲིམས་མི་ཐུབ་པ་དང་ལྡན་པའི་གང་ཟག་འདི་ལྟ་བུ་འདུས་པས་ན་ངན་པའི་སར་སྐྱེས་ལ་གཟུགས་ངན་པ་དང་། ལུས་རྩུབ་པ་དང་། མི་སྡུག་པར་སྣང་བ་དང་། མཐོང་ན་ཡིད་དུ་མི་འོང་བར་འགྱུར་རོ། ། ||| When a person has an angry disposition and is unable to keep moral discipline, after accumulating the corresponding action, is reborn in an inferior form of existence, they will possess a body that is inferior, coarse, ugly, [885] and revolting.
ཇི་ལྟར་གང་ཟག་ལས་འདི་ལྟ་བུ་འདུས་པས་ན་ངན་པའི་སར་སྐྱེས་ལ་དྲི་མི་ཞིམ་པ་དང་། དབང་པོ་མ་ཚང་བ་དང་། དབང་པོ་མི་འཐུན་པར་འགྱུར་བའི་ལས་གང་ཡིན་ཞེ་ན ||| “What kind of action, when accumulated, leads a person to be born into an inferior form of existence, foul smelling, and with impaired, missing, or inadequate sense organs?
གླེན་པར་སྐྱེས་ཤིང་ཁྲིམས་མི་ཐུབ་པ་དང་ལྡན་པ་གང་ཟག་ལས་འདི་ལྟ་བུ་འདུས་པས་ན་ངན་པའི་སར་སྐྱེས་ལ་དྲི་མི་ཞིམ་པ་དང་། དབང་པོ་མ་ཚང་བ་དང་། དབང་པོ་མི་འཐུན་པར་འགྱུར་རོ། ། ||| When a person has a disposition toward confusion and is unable to keep moral discipline, and after accumulating the corresponding action is reborn in an inferior form of existence, they will be foul smelling and have impaired, missing, or inadequate sense organs.
ཇི་ལྟར་མི་དགེ་བ་བཅུའི་ལས་བྱས་པའི་རྒྱུས་ཕྱི་རོལ་གྱི་ཡུལ་ས་རྣམས་ངན་དུ་འོང་བར་འགྱུར་བ་ཡིན་ཞེ་ན། ||| “How will one’s external environment deteriorate by reason of carrying out the ten nonvirtuous actions?
སྲོག་གཅོད་ན་དེའི་ལན་གྱིས་སའི་མདོག་ཉམས་པར་འོང་ངོ་། ། ||| As a consequence of killing, the earth will lose its color;
མ་བྱིན་པར་བླངས་ན་དེའི་ལན་གྱིས་སེར་བ་དང་། བྱེ་བ་དང་། བྱི་བ་དང་། སྲིན་མང་དུ་འོང་བར་འགྱུར་རོ། ། ||| as a consequence of stealing, the land will be hit by hail and infested by birds, mice, and insects;
མི་ཚངས་པར་སྤྱོད་པ་བྱས་པས་དེའི་ལས་ཀྱིས་ཁུག་རྣ་དང་། རླུང་དང་རྡུལ་དང་རྡུལ་ཆེན་པོ་འོང་བའི་སར་སྐྱེའོ། ། ||| through the act of leading an unchaste life, one will be born in a place beset by fog, wind, dust, and dust storms;
བརྫུན་མང་དུ་བྱས་པའི་ལས་ཀྱི་འབྲས་བུ་ནི་ཁར་མནམ་པོར་འགྱུར་བ། དབུགས་མི་ཞིམ་པར་འོང་ངོ་། ། ||| the karmic result of lying is a bad taste in one’s mouth, and one’s breath will be foul smelling;
ཕྲ་མ་མང་དུ་བྱས་པའི་ལས་ཀྱི་འབྲས་བུ་ནི་ཡུལ་མཐོ་དམན་ཅན་དང་། ལྕང་ལྕོང་ཅན་དང་། མི་གཙང་བ་དང་། ན་རྐོང་དང་། རྡོ་བ་གྲམ་ཁྲོད་ཅན་གྱི་ཡུལ་དུ་སྐྱེའོ། ། ||| the karmic result of frequently exercising divisive speech is that one will be born in a land where the ground is uneven, rugged, and unclean—a land where the skin disease called rkong is prevalent and where heaps of stones are scattered everywhere;
ཁ་ཁྱལ་པ་བྱས་པའི་ལས་ཀྱི་འབྲས་བུ་ནི་གྲོག་པོ་མང་བ། རྩི་ཤིང་དང་། ཡལ་ག་དང་། འདབ་མ་ཚེར་མ་ཅན་དང་། ནགས་ཚང་ཚིང་ཅན་གྱི་ཡུལ་དུ་སྐྱེའོ། ། ||| the karmic result of trivial talk is that one will be born in a country with many ravines, where the trees, branches, and foliage all have thorns, and which is covered by a dense jungle;
བརྐམ་པར་བྱས་པའི་འབྲས་བུ་ནི་འབྲུ་འབྲས་ཅི་ཡང་ཕྲ་མོར་འོང་ངོ་། ། ||| the karmic result of greed is that grain and fruit will be scanty;
ཁྲོ་བ་བྱས་པའི་ལན་གྱིས་ས་བོན་འབྲས་བུ་ཚ་བ་དང་། སྐྱུར་བ་དང་། ཁ་བར་འོང་ངོ་། ||| as a consequence of hatred,grain and fruit will be pungent, sour, and bitter;
ལོག་པར་བལྟས་པ་དང་། བྱེད་དུ་བཅུག་པའི་ལས་ཀྱི་རྒྱུས་ནི་ས་བོན་དང་འབྲས་བུ་ཆུང་ཞིང་ངན་པར་འོང་ངོ་། ||| and through the act of holding wrong views and causing others to have wrong views, grain and fruit will be scanty and of inferior quality.
འདི་ལྟར་མི་དགེ་བ་བཅུའི་ལས་བྱས་པས་ཕྱི་རོལ་གྱི་ཡུལ་ས་རྣམས་ངན་པར་འགྱུར་ཞིང་མི་བདེ་བའི་གནས་སུ་སྐྱེ་བར་འགྱུར་རོ། ། ||| By engaging in the ten nonvirtuous actions in this way, one’s external environment will deteriorate [886] and one will be born in unpleasant places.”
བཅོམ་ལྡན་འདས་ཀྱིས་ཡང་བཀའ་སྩལ་པ། མན་པ་ངན་པ་རྣམ་པ་བཅུར་འགྱུར་བ་ཡང་གོ་ཞིང་ཤེས་པར་བྱོས་ཤིག ། ||| And the Bhagavān declared in addition, “Young brahmin, you should furthermore understand and know that there are ten negative consequences of killing.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
དགྲ་མང་དུ་འགྱུར་བ། ཡིད་དུ་མི་འོང་བར་སྣང་བ། ཚེ་ཐུང་བ། སྡིག་པའི་ལས་ལ་སེམས་པ། སེམས་ཅན་རྣམས་འཇིགས་པར་འགྱུར་བ། མི་དགའ་བཞིན་ཉལ་བ། མི་དགའ་བཞིན་སད་པ། རྨི་ལམ་ན་སྡིག་པ་མཐོང་བ། ཕྱིས་འགྱོད་པ། ཚེ་ཐུང་བའི་ལས་སེམས་ཤིང་བྱེད་པ་ཡིན་ཏེཤི་ནས་ལུས་དང་བྲལ་ན་ལམ་ངན་པར་ལྟུང་ཞིང་སེམས་ཅན་དམྱལ་བར་སྐྱེའོ། ||| (1) One will have numerous enemies; (2) one will have an ugly appearance; (3) one’s life will be short; (4) one will think about evil actions; (5) one will frighten sentient beings; (6) one will constantly fall asleep feeling sad; (7) one will constantly awaken feeling sad; (8) one will dream about sins and later have regrets; (9) one will think about and carry out actions that lead to having a short lifespan; and (10) after one has died and parted with the physical body, one will fall down into bad states and be reborn in hell.
མ་བྱིན་པར་བླངས་ན་ལས་ཀྱི་རྣམ་པར་སྨིན་པ་བཅུར་འགྱུར་ཏེ། ||| “The karmic ripening of stealing leads to ten negative consequences.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
དགྲར་འགྱུར་བ་ཡིན། ||| (1) One will become an enemy;
དོགས་པར་འགྱུར་བ་ཡིན། ||| (2) one will feel qualms;
མི་རིགས་པར་འགྲོ་བ་ཡིན། ||| (3) one will walk about inappropriately;
མཚན་མོ་འཁྱམ་པ་ཡིན། ||| (4) one will roam about at night;
སྡིག་པའི་གྲོགས་པོ་ཀུན་གྱི་ནད་ཀྱིས་ཟིན་པ་ཡིན། ||| (5) one will be conjoined with every evil companion;
དགེ་བའི་གྲོགས་པོ་ཀུན་སྤངས་པ་ཡིན། ||| (6) one will be bereft of any virtuous friends;
ཁྱིམས་མི་ཐུབ་པ་ཡིན། ||| (7) one will be incapable of keeping a household;
རྒྱལ་པོས་གྱོད་བཏབ་པ་ཡིན། ཆད་པས་བཅད་པ་ཡིན། ||| (8) one will be put on trial and convicted by the king;
མི་སྐྱིད་པར་བྱེད་པར་འགྱུར་བའི་ལས་སེམས་ཤིང་བྱེད་པ་ཡིན་ཏེ། ||| (9) one will constantly think about and carry out actions that lead to others’ unhappiness;
ཤི་ནས་ལུས་དང་བྲལ་ནས་ལམ་ངན་པར་ལྟུང་ཞིང་སེམས་ཅན་དམྱལ་བར་སྐྱེའོ། ། ||| and (10) after one has died and parted with the physical body, one will fall down into bad states and be reborn in hell.
མི་ཚངས་པར་སྤྱོད་པས་ན་ངན་པ་བཅུར་འགྱུར་བ་ཤེས་པར་བྱོས་ཤིག ། ||| “One should recognize that leading an unchaste life leads to ten negative consequences.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
གཞན་གྱི་ཁྱོ་ཤུག་དང་ཉལ་བ་ཡིན། ||| (1) One will sleep with others’ spouses;
གླགས་ཚོལ་བ་ཡིན། ||| (2) one will seek an opportunity [to sleep with others’ spouses];
ཁྱོ་ཤུག་དང་འཐབ་པ་ཡིན། ||| (3) one will quarrel with one’s spouse;
ཁྱོ་ཤུག་འཕྲོགས་པ་ཡིན། ||| (4) one’s partner will leave one;
མི་དགེ་བའི་ཆོས་ཀུན་སྐྱེ་བ་ཡིན། དགེ་བའི་ཆོས་ཀུན་བྱང་ཞིང་འབྲི་བར་འགྱུར་བ་ཡིན། ||| (5) all kinds of nonvirtuous personal qualities will arise, and virtuous qualities will steadily diminish;
བདག་ཀྱང་བདེན་པར་མི་སྲུང་བ་ཡིན། ||| (6) one will not find true protection;
བུ་སྨད་ལ་སོགས་པ་ཡང་བདེན་པར་མ་བསྲུངས་པ་ཡིན། ||| (7) one’s family will not be truly protected;
དོགས་པར་འགྱུར་བ་ཡིན། ||| (8) one will feel anxiety;
གཉེན་དང་། གྲོགས་པོ་དང་། རིགས་གཅིག་པ་དགྲར་འགྱུར་བའི་ལས་སེམས་ཤིང་བྱེད་པ་ཡིན་ཏེ། ||| (9) one will contemplate and carry out actions that turn one’s relatives, friends, and fellow clansmen into enemies;
ཤི་ནས་ལུས་དང་བྲལ་ན་ལམ་ངན་པར་ལྟུང་ཞིང་སེམས་ཅན་དམྱལ་བར་སྐྱེའོ། ། ||| and (10) after one has died and parted with the physical body, one will fall down into bad states [887] and be reborn in hell.
བརྫུན་བྱས་ན་ངན་པ་བཅུར་འགྱུར་ཏེ། ||| “When one lies, ten negative consequences ensue.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
དེའི་ལུས་ལ་ལྷ་རྣམས་མི་འཁོར་བ། མི་མ་ཡིན་པ་རྣམས་འཁོར་བ། གཞན་གྱིས་སླུ་བ། བདག་གི་ཚིག་མི་བརྟན་པ། ཁ་མནམ་པ། དྲང་པོར་སྨྲས་ཀྱང་སུ་ཡང་ཡིད་མི་ཆེས་པ། བརྫུན་པོ་ཆེ་དེ་ལ་དྲི་བའི་མི་རིགས་ཞེས་ཟེར་བ། དེ་ལ་ཚིགས་སུ་བཅད་ཅིང་བསྟོད་པ་མེད་པར་གྲགས་པར་འགྱུར་བ། སུ་ཡང་མི་ཉན་པའི་ཚིག་ཏུ་འགྱུར་བ་ཀུན་དུ་ངན་དུ་རྗོད་པའི་ལས་སེམས་ཤིང་བྱེད་པ་ཡིན་ཏེ ||| (1) Around the liar’s body, deities will not congregate; (2) instead, nonhuman spirits will gather; (3) others will deceive one; (4) one’s word will be unreliable; (5) one will always have bad breath; (6) everybody will mistrust one, even when one speaks honestly; (7) people will say that it is wrong to ask such a great liar anything; (8) one will become known as someone with a bad reputation and without commendation; (9) one will habitually contemplate and carry out actions that are regarded as evil, leading to the situation in which nobody listens to what one says; and
ཤི་ནས་ལུས་དང་བྲལ་ན་ལམ་ངན་པར་ལྟུང་ཞིང་སེམས་ཅན་དམྱལ་བར་སྐྱེའོ། ། ||| (10) after one has died and parted with the physical body, one will fall down into bad states and be reborn in hell.
ཆང་འཐུངས་ན་ངན་པ་བག་མེད་པ་སུམ་ཅུ་རྩ་ལྔར་འགྱུར་བ་ཤེས་པར་བྱོས་ཤིག ། ||| “One should know the negative consequences associated with drinking alcohol that lead to thirty-five kinds of heedlessness.
སུམ་ཅུ་རྩ་ལྔ་གང་ཞེ་ན། ||| Which thirty-five?
མངོན་པར་སྣང་བཞིན་དུ་ནོར་ཟད་པ། མ་དད་པ་མང་པོ་འདུ་བ། འཐབ་མོ་དང་རྩོད་པ་རྣམས་སྐྱེ་བ། ཁྲེལ་ཞིང་ངོ་ཚས་མི་འཛེམ་པ། མི་སྙན་པར་གྲགས་པར་བྱེད་པ། ཤེས་རབ་ཉམས་པར་བྱེད་པ། སྐྱིད་པ་སྔན་ཅད་མ་བསགས་པ། ད་ཡང་མི་སོགས་པ། སྐྱིད་པའི་བསགས་པ་ཀུན་ཟད་ཅིང་མེད་པར་བྱས་པ། གསང་བ་རྣམས་སྨྲ་བ། ལས་སུ་བྱ་བ་རྣམས་ཤོར་བ། ||| (1) The wealth that one is currently experiencing will dissipate; (2) one’s faith [in the Three Jewels] will dissipate; (3) quarrels and disputes will arise; (4) one will neither feel embarrassment nor have a guilty conscience; (5) drinking makes one disgrace oneself; (6) drinking makes one’s knowledge deteriorate; (7) previously unaccumulated happiness will not be accumulated in the future; (8) the happiness that one has accumulated will diminish and eventually disappear completely; (9) one will reveal secrets; (10) one will neglect one’s duties;
ཞན་ཏེ་ཉམ་ཆུང་བར་གྱུར་པ། མྱ་ངན་གྱི་རྩ་བ། མར་མི་འཛིན་པ། ཕར་མི་འཛིན་པ། ཐར་པར་ཞུགས་པར་མི་ཤེས་པ། བྲམ་ཟེར་མི་ཤེས་པ། རིགས་བཙུན་པ་ལ་བསྟི་སྟང་རིམ་གྲོ་མི་བྱེད་པ། སངས་རྒྱས་ལ་རིམ་གྲོ་མི་བྱེད་པ། ཆོས་ལ་རིམ་གྲོ་མི་བྱེད་པ། དགེ་འདུན་ལ་རིམ་གྲོ་མི་བྱེད་པ། ||| (11) one will become feeble and sickly; (12) one will be a source of suffering [for others]; (13) one will not honor one’s mother; (14) one will not honor one’s father; (15) one will not honor those who have entered the path of liberation; (16) one will not honor brahmins; (17) one will not show respect and reverence for those of noble birth; (18) one will not venerate the Buddha; (19) one will not venerate the Dharma; (20) one will not venerate the Saṅgha;
སྡིག་བྱེད་པའི་གྲོགས་པོ་ལ་རིམ་གྲོ་བྱེད་པ། དགེ་བའི་གྲོགས་པོ་ཀུན་སྤོང་ཞིང་ཁྱད་དུ་གསོད་པ། ངོ་ཚ་མི་ཤེས་པ། ཁྲེལ་གྱིས་དོགས་པ་མེད་པ། སྤ་ཞིང་མཛེས་པའི་བག་མི་བྱེད་པ། གཡེམ་པ་ལ་བག་མེད་པ། འགྲོ་བ་མང་པོའི་ཡིད་དུ་མི་འོང་བ། འགྲོ་བ་མང་པོས་སྨད་པ། རིགས་ཆེན་པོ་དང་། གཉེན་པ་དང་། རིགས་གཅིག་པ་སྤངས་པ། ཡང་དག་པའི་ཆོས་མ་ཡིན་པ། ཀུན་འཛིན་པ། ||| (21) instead, one will venerate immoral friends; (22) one will completely abandon and loathe virtuous friends; (23) one will not have a guilty conscience; (24) one will not be afraid of embarrassment; (25) one will neglect one’s appearance; (26) one will be heedless with regard to sexual misconduct; (27) one will be considered unattractive by many beings; [888] (28) one will be despised by many; (29) one will abandon noble families, relatives, and fellow clansmen; (30) one will fully embrace that which is not the true Dharma;
ཡང་དག་པའི་ཆོས་ཀུན་སྤོང་བ། ཉེས་པར་བྱེད་ཀྱིས་སྟོད་པའི་མི་རིགས་ཞེས་བླ་མས་སྨད་པ། མྱ་ངན་ལས་འདས་པ་དང་རིང་དུ་བྲལ་བ། སྨྱོན་པར་གྱུར་པའི་ལས་སེམས་ཤིང་ངན་པའི་སྐྱོན་རྣམས་སྣ་ཚོགས་སུ་བྱེད་པ་ཡིན་ཏེ ||| (31) one will completely abandon the true Dharma; (32) the people above one will turn away from one in disgust, saying, ‘This one is not commendable because of his bad behavior’; (33) one will be separated from nirvāṇa for a long time; (34) one will ponder how to get drunk, and one will make ignoble mistakes in very many ways;
ཤི་ནས་སེམས་ཅན་དམྱལ་བར་ལྟུང་ཞིང་ལུས་དང་བྲལ་ན་ཡང་ལམ་ངན་པར་འགྲོ་བས་བླ་འོག་ཀུན་གྱིས་ཀྱང་མི་བཏུང་ཞིང་སྤང་བར་བྱའོ། ། ||| and (35) after one has died, one will fall down into the hell realms and, even if one is without a physical body, one will go to a bad state. Therefore, [alcohol] should not be drunk and should be abandoned by everyone, high and low.
མན་པ་བདེ་བར་གཤེགས་པའི་མཆོད་རྟེན་ལ་ཐལ་མོ་སྦྱར་ནས་གུས་པས་ཕྱག་བྱས་ནས་ལེགས་པ་བཅུ་ཐོབ་པར་འགྱུར་ཏེ། ||| “Young brahmin, one will gain ten advantages through worshiping with devotion, with the palms of one’s hands joined in reverence, at the caitya of the Sugata.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
ཆེན་པོའི་རིགས་སུ་སྐྱེ་བ། གཟུགས་ཆེ་བ། འཁོར་མང་བ། ཕ་མ་ལ་རིམ་གྲོ་བསྟི་སྟང་ཆེ་བ། ནོར་མང་བ། མང་དུ་ཐོས་པ། དད་པ་དང་ལྡན་པ། མང་དུ་དྲན་པ་ཤེས་རབ་ཆེན་པོ་མཐོ་རིས་ཀྱི་ལམ་ཆེན་པོ་ཐོབ་པར་འོང་ངོ་། ། ||| (1) One will be born into a noble family; (2) one will have a tall body; (3) one will have many servants; (4) one will have great veneration and reverence toward one’s parents; (5) one will have great wealth; (6) one will have great erudition; (7) one will possess faith; (8) one will have a good memory and (9) vast knowledge; and (10) one will obtain a sure path to heaven.
ཡང་དག་པར་གཤེགས་པའི་མཆོད་རྟེན་ལ་ཕྱག་འཚལ་ན་ལེགས་པ་བཅུ་ཐོབ་པར་འགྱུར་ཏེ། ||| “One will gain ten advantages from prostrating oneself before a caitya of the Tathāgata.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
གཟུགས་བཟང་པོར་འགྱུར། ||| (1) One will have a beautiful body;
སྐད་སྙན་པར་འགྱུར། ||| (2) one will have a pleasant voice;
ངག་ཀུན་གྱིས་མཉན་པར་འགྱུར། ||| (3) all will listen to one’s words;
འཁོར་ཀུན་གྱིས་སྟོད་པར་འགྱུར། ||| (4) all one’s servants will praise one;
སྐྱིད་པ་དང་ལྡན་པར་འགྱུར། ||| (5) one will be endowed with happiness;
ལྷ་དང་མིའི་ནང་ན་ཡང་དབང་ཆེ་བར་འགྱུར། ||| (6) one will be influential among devas and (7) humans;
སྤྱོད་པ་མང་པོར་འགྱུར། ། ||| (8) one’s possessions will be abundant;
མཐོ་རིས་སུ་སྐྱེ་བར་འགྱུར། ||| (9) one will be reborn in heaven;
མྱ་ངན་ལས་འདས་པ་ཡང་མྱུར་དུ་ཐོབ་པར་འགྱུར་རོ། ། ||| and (10) one will quickly attain even nirvāṇa.
ཡང་དག་པར་གཤེགས་པའི་མཆོད་རྟེན་ལ་གདུགས་ཕུལ་ན་ལེགས་པ་བཅུ་ཐོབ་པར་འགྱུར་ཏེ། ||| “One will gain ten advantages from offering a parasol at a caitya of the Tathāgata.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
གདུགས་དང་འདྲ་བར་འགྱུར། ||| (1) One will be like a parasol,
འཇིག་རྟེན་ལ་མི་གནོད་པར་འགྱུར། ||| (2) one will not cause harm to the world,
སྨོན་པའི་གནས་སུ་འགྱུར། ||| (3) one will become the object of [people’s] aspirations,
འཇིག་རྟེན་གྱི་དབང་པོར་འགྱུར། ||| (4) one will gain worldly power,
ལས་སེམས་ཤིང་བྱེད་པར་འགྱུར། ||| (5) one will act on one’s intentions, [889]
ཕྱི་ཕྱིར་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོ་ཐོབ་པར་འགྱུར། ||| (6) eventually one will attain the state of a universal monarch,
དབང་པོ་ཆེན་པོར་འགྱུར། ||| (7) one will become very powerful,
སྤྱོད་པ་མང་པོར་འགྱུར། ||| (8) one will have abundant possessions, and
མཐོ་རིས་སུ་སྐྱེ་བར་འགྱུར། ||| (9) one will be reborn in heaven and
མྱ་ངན་ལས་འདས་པ་ཡང་མྱུར་དུ་ཐོབ་པར་འགྱུར་རོ། ། ||| (10) quickly attain nirvāṇa.
ཡང་དག་པར་གཤེགས་པའི་མཆོད་རྟེན་ལ་དྲིལ་བུ་ཕུལ་ན་ལེགས་པ་བཅུ་ཐོབ་པར་འགྱུར་ཏེ། ||| “One will gain ten advantages from offering a bell at a caitya of the Tathāgata.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
གཟུགས་བཟང་པོར་འགྱུར་བ་ཡིན། ||| (1) One will have a beautiful body;
དབྱངས་སྙན་པ་ཡིན། ||| (2) one’s voice will be melodious;
ཡིད་དུ་འོང་བ་སྨྲ་བ་ཡིན། ||| (3) one’s speech will be pleasing;
བྱ་ཀ་ལ་པིང་ཀའི་སྒྲ་སྐད་དུ་སྨྲ་བ་ཡིན། ||| (4) one’s speech will be like the song of the kalaviṅka bird;
ཀུན་གྱིས་མཉན་པར་འགྱུར་བ་ཡིན། ||| (5) all will listen to what one says;
རྟག་ཏུ་དགའ་ཞིང་རངས་པ་ཡིན། ||| (6) one will always be happy and filled with delight;
ཕྱི་ཕྱིར་ཡིད་དུ་འོང་བའི་སྒྲ་ཐོས་པ་ཡིན། ||| (7) one will continuously hear pleasing sounds;
སྤྱོད་པ་མང་པོ་ཡིན། ||| (8) one will have abundant possessions;
མཐོ་རིས་སུ་སྐྱེ་བ་ཡིན། ||| and (9) one will be reborn in heaven and
མྱ་ངན་ལས་འདས་པར་འགྱུར་བ་ཡིན་ནོ། ། ||| (10) attain nirvāṇa.
ཡང་དག་པར་གཤེགས་པའི་མཆོད་རྟེན་ལ་ན་བཟའ་ཕུལ་ན་ལེགས་པ་བཅུ་ཐོབ་པར་འགྱུར་ཏེ། ||| “One will gain ten advantages from offering robes at a caitya of the Tathāgata.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
མདོག་འཇམ་པ་ཡིན། ||| (1) One will have a fine complexion;
ལུས་རྡུལ་མི་ཆགས་པ་ཡིན། ||| (2) dust won’t stick to one’s body;
ཁྲེལ་ལྟས་དང་ལྡན་པ་ཡིན། ||| (3) one will be conscientious;
མཐོང་ན་དགའ་བ་ཡིན། ||| (4) one will be a delight to behold;
རྟག་ཏུ་གོས་དང་ལྡན་པ་ཡིན། ||| (5) one will always have clothing;
འཇམ་ཞིང་བཟང་པོའི་གོས་རྟག་པ་ཡིན། ||| (6) one’s garments will remain soft forever and be durable;
ཅི་ཡང་རྙེད་པ་ཡིན། ||| (7) one will obtain anything that one wants;
སྤྱོད་པ་མང་པོ་ཡིན། ||| (8) one will have abundant possessions;
མཐོ་རིས་སུ་སྐྱེ་བ་ཡིན། ||| and (9) one will be reborn in heaven and
མྱུར་དུ་མྱ་ངན་ལས་འདས་པ་ཐོབ་པ་ཡིན་ནོ། ། ||| (10) quickly attain nirvāṇa.
ཡང་དག་པར་གཤེགས་པའི་མཆོད་རྟེན་ལ་མེ་ཏོག་ཕུལ་ན་ལེགས་པ་བཅུ་ཐོབ་པར་འགྱུར་ཏེ། ||| “One will gain ten advantages from offering flowers at a caitya of the Tathāgata.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
འཇིག་རྟེན་གྱི་ནང་ན་མེ་ཏོག་དང་འདྲ་བར་འགྱུར། ||| (1) One will be like a flower in the world;
གསུང་གི་དབང་པོ་གཙང་མར་འགྱུར། ||| (2) one’s power of expression will be purified;
ལུས་ལ་མནམ་པའི་དྲི་ཞིམ་པར་འགྱུར། ||| (3) the scent produced by one’s body will be sweet smelling;
ལུས་གཙང་མར་འགྱུར། ||| (4) one’s body will become purified;
ཕྱོགས་བཅུར་ཁྲིམས་ཐུབ་པའི་གཟུགས་རྒྱས་པར་འགྲོ། ||| (5) one will go to spread the strength to uphold moral discipline in all directions [like a powerful fragrance pervades everywhere] and
ཀུན་ཀྱང་དེ་ལས་འདུ་བར་འགྱུར། ||| (6) attract all beings;
འཇིག་རྟེན་གྱི་ནང་ན་རྙེད་པར་འགྱུར། ||| (7) one will make a profit in the world;
དད་པའི་ཆོས་རྣམས་མང་དུ་འགྲུབ་པར་འགྱུར། ||| (8) one will obtain countless desired qualities;
མཐོ་རིས་སུ་སྐྱེ་བར་འགྱུར། ||| and (9) one will be reborn in heaven and
མྱུར་དུ་མྱ་ངན་ལས་འདས་པར་འགྱུར་རོ། ། ||| (10) quickly attain nirvāṇa.
ཡང་དག་པར་གཤེགས་པའི་མཆོད་རྟེན་ལ་མེ་ཏོག་ཕྲེང་བ་ཕུལ་ན་དེའི་ལེགས་པ་བཅུ་ཐོབ་པར་འགྱུར་ཏེ། ||| “One will gain ten advantages from offering a flower garland [890] at a caitya of the Tathāgata.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
འཇིག་རྟེན་གྱི་ནང་ན་མེ་ཏོག་གི་ཕྲེང་བ་དང་འདྲ་བར་ལུས་ལ་མནམ་པའི་དྲི་ཞིམ་པར་འགྱུར། ||| (1) One’s physical body will become fragrant like a garland of flowers for the world;
ལུས་གཙང་བར་འགྱུར། ||| (2) one’s body will become purified;
རྟག་ཏུ་དྲི་ཞིམ་པར་འགྱུར། ||| (3) one’s scent will always be good;
རྒྱན་དང་ལྡན་པར་འགྱུར། ||| (4) one will be endowed with adornments;
འཁོར་གྱི་རྣམས་གཏོང་ཞིང་ཉེ་བར་འགྱུར། ||| (5) the entirety of one’s entourage will be close and (6) in harmony;
ཕོ་མོ་ཐམས་ཅད་ཀྱི་ཡིད་དུ་འོང་བར་འགྱུར། ||| (7) one will be appealing to all men and women;
སྤྱོད་པ་མང་དུ་འགྱུར། ||| (8) one will have abundant possessions;
མཐོ་རིས་སུ་སྐྱེ་བར་འགྱུར། ||| and (9) one will be reborn in heaven and
མྱུར་དུ་མྱ་ངན་ལས་འདས་པར་འགྱུར་རོ། ། ||| (10) quickly attain nirvāṇa.
