༄༅༅། །འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་ཉི་ཤུ་རྩ་བརྒྱད་པ་སྟེ་ཁྱིམ་བདག་དཔས་བྱིན་གྱིས་ཞུས་པ། བམ་པོ་གཅིག་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བཱི་ར་དཏྟ་གྲྀ་ཧ་པ་ཏི་པ་རི་པྲྀཙྪཱ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཁྱིམ་བདག་དཔས་བྱིན་གྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of the Householder Vīradatta
།བདག་ཉིད་གཅིག་པུས་སྡུག་བསྔལ་མྱོང་བར་འོང་། ||| But when one experiences suffering all alone,
།དེ་དག་དེ་ཚེ་བདག་གི་སྐལ་མི་ལེན། ||| They do not accept your predicament.
།མྱ་ངན་རྣམས་ཀྱིས་བདེ་ཕྱིར་དེ་དག་བླངས། ||| “Dejected people accept these things for the sake of happiness.
།འདི་ན་དེ་དག་སྡུག་བསྔལ་མྱ་ངན་འགྱུར། ||| In this way, they become disheartened with suffering.
།སྲིད་གསུམ་འཇིགས་པ་འདི་ན་བཤེས་ཀྱང་མེད། ||| In this horror of the three worlds, there are no friends,
།དེ་བཞིན་བུ་དང་ཆུང་མ་རྩ་ལག་མེད། ||| And likewise no children, spouse, or relatives.
།ཕ་མ་སྤུན་དང་བུ་དང་ཆུང་མ་དང་། །བྲན་དང་ནོར་དང་རྩ་ལག་ཚོགས་ཀྱི་རྣམས། ||| “The multitude of parents, siblings, children, spouses, Servants, wealth, and relatives
།ཤི་བའི་གཤིན་ཕྱིར་དེ་དག་འགྲོ་བ་མེད། ||| Do not transmigrate because the Lord of Death has come;
།ལས་རྣམས་རྗེས་སུ་འབྲང་ཞིང་བྱིས་པ་འགྲོ། ||| The childish transmigrate in the wake of their karmic deeds.
།ལས་ནི་རྗེས་སུ་འབྲང་ཞིང་མི་ཀུན་འདོང་། ||| “People all depart in the wake of their karmic deeds.
།ལས་ཀྱིས་གནས་པ་འཇིག་རྟེན་རྣམ་པར་རྒྱུ། ||| Through karmic deeds, they are transported to worldly abodes.
།སྐྱེ་འདི་ལས་ཀྱི་བདག་ཉིད་རིག་གྱུར་ནས། ||| Knowing the nature of the karma of this rebirth,
།མཁས་པ་དག་ནི་དགེ་བའི་ལས་རྣམས་བྱེད། ||| The wise perform virtuous deeds.
།མནར་མེད་སོང་ཚེ་དེ་དག་སྐྱབས་མིན་པས། ། ||| “When they have gone to hell, they will have no refuge.
ཕ་མ་སྤུན་དང་སྙིང་སྡུག་བུ་རྣམས་དང་། །རྩ་ལག་ཉེ་དུ་སྣག་གི་གཉེན་མཚམས་དང་། །དེ་དག་ཆེད་དུ་མཁས་པ་སྡིག་མི་བྱེད། ||| Thus, the wise do not commit evil misdeeds For the sake of parents, siblings, loved ones, children, Kinsmen, and maternal relatives.
།ལས་དེ་ཡོངས་སུ་ཟད་པ་མ་གཏོགས་པར། ||| “Apart from exhausting all that karma,
།རབ་ཏུ་མི་བཟད་འཇིགས་ལས་མི་མི་འགྲོལ། ||| A person is not liberated from the most frightful terrors.
།དེ་ཕྱིར་སྡིག་པས་འཇིགས་པའི་མི་རྣམས་ཀྱིས། ||| Therefore, those who are fearful of misdeeds
།བསྒྲིམས་ཏེ་སྡིག་པ་ཡོངས་སུ་སྤང་བར་བྱ། ||| Should concentrate and eliminate all misdeeds.
།ཇི་ལྟར་ལས་རྣམས་བྱས་པ་མ་གཏོགས་པར། ||| “In any case, apart from the deeds one performs,
།གཤིན་རྗེ་དང་ནི་གཤིན་རྗེའི་རང་རྟ་དང་། །མཛའ་བཤེས་དག་དང་རྩ་ལག་ཚོགས་དང་སྤུན། ||| The Lord of Death, the horse of the Lord of Death, And the throng of friends, relatives, siblings,
།ཕ་མ་བུ་དང་ཆུང་མ་སྲུང་མི་བྱེད། ||| Parents, children, and spouse will offer no protection.
།ཁྱོད་ཀྱིས་མི་ཡི་ལུས་ནི་ཐོབ་གྱུར་ལ། །ཐོབ་ནས་སྡིག་པ་སྤང་བ་མ་བྱས་པས། །ཀྱེ་མ་ད་ལྟར་སྡུག་བསྔལ་མི་བཟད་མྱོང་། ||| “You have attained a human body, but having attained it, You have not set about relinquishing misdeeds. Alas! You now experience unbearable suffering.
།འདི་ནི་མི་དགེའི་ལས་ཀྱི་རྣམ་སྨིན་ཡིན། ||| This is but the ripening of nonvirtuous karmic action.
།ལས་ཀྱི་རྣམ་པར་སྨིན་ལ་ཡིད་མ་ཆེས། ||| “Without having conviction in the ripening of karmic action,
།ཁྱོད་ནི་རང་གི་སེམས་ཀྱིས་མི་དགེ་བྱས། ||| You create nonvirtue through your own mind.
།འདི་ལ་ངས་ནི་ཅི་ཡང་མ་ལན་ཞེས། ||| For this, one answers ‘I did not do anything at all.’
།དེ་ལ་ཆོས་རྒྱལ་གཤིན་རྗེ་དེ་སྐད་སྨྲ། ||| Then the Dharma king Lord of Death states the following:
།རང་གིས་ལས་བྱས་རང་ལ་རྣམ་པར་སྨིན། །རང་གི་ལས་ཀྱིས་ཁྱོད་ནི་འདིར་འོངས་ཀྱིས། །ཇི་ལྟར་སྔོན་ཆད་མི་འདོད་ལས་བྱས་པ། །སྡུག་བསྔལ་དེ་ནི་ཉིད་ཀྱིས་མྱོང་བར་གྱིས། ||| “ ‘The karma you yourself committed ripens within you. Having come here due to your own karma, Just as you previously committed undesirable deeds, So you now experience this suffering.
།དེ་ཚེ་ཕ་མ་རང་གི་ཆུང་མ་རྣམས། ||| “ ‘At this time, your parents and your spouse
།སྡུག་བསྔལ་ཉེན་པ་ཡོངས་སུ་ཐར་མི་བྱེད། ||| Also do not escape the torments of suffering.
།ལེགས་པའི་ལས་བྱས་པས་ནི་གྲོལ་བར་འགྱུར། ||| You will be liberated by well-performed actions.
།དེ་ལྟར་ཁྱིམ་ནི་ཡོངས་སུ་སྤང་བར་བྱ། །ཁུ་སྒོ་དབྱུག་པ་ལྟུང་གི་ཆད་པ་རྣམས། །སུ་ཞིག་སྤོང་འདོད་ཞི་བ་དོན་གཉེར་བས། ||| Accordingly, you should completely abandon the home. “ ‘Striving for the goal of peace with the wish to abandon The punishments of transgressions involving fetters and bludgeons,
།ཁྱིམ་ལ་འཇིགས་པར་གྱིས་ཏེ་སྤང་བྱོས་ལ། ||| You should fear the home and thus abandon it!
།འཇིག་རྟེན་མཁས་པའི་བསྟན་ལ་ཆོས་སྤྱོད་ཅིག །ཁྱིམ་ནི་རབ་འབར་སྡུག་བསྔལ་མང་པོའི་རྩ། ||| You should practice the Dharma, the teaching of one who is wise about the world. “ ‘The home is the root of manifold miseries that blaze forth.
།སེམས་ལས་བྱུང་བ་རྣམས་ཀྱིས་རྟག་ཏུ་འབར། ||| Ever ablaze once it has arisen in the mind,
།མེ་མུར་འོབས་འདྲ་འཇིགས་པར་བྱེད་པ་ལ། ||| It is terrifying like a pit of hot coals.
།མཁས་པ་སུ་ཞིག་དེ་ལ་སྲེད་པ་སྐྱེད། ||| What wise person would arouse craving for that?
།ཁྱིམ་གནས་བུ་དང་ཆུང་མའི་མྱ་ངན་བྱེད། ||| “ ‘Home life brings the sorrows of children and spouse.
།ཁྱིམ་གནས་དེ་བཞིན་ལོངས་སྤྱོད་མྱ་ངན་བྱེད། ||| The enjoyments of home life likewise bring sorrow.
།ཉེས་པ་འདི་དང་གཞན་ཡང་དཔག་མེད་དེ། ||| The drawbacks of these, moreover, are immeasurable.
།དེ་ལྟས་ཁྱིམ་ནི་ཡོངས་སུ་སྤང་བར་བྱ། ||| In this regard, the home should be totally abandoned.
།འདྲེན་པ་རྣམས་ཀྱི་བསྟན་ལ་དགའ་བྱེད་པ། ||| “ ‘The teachings of spiritual guides bring joy.
།མ་བཏབ་མ་རྨོས་བདེ་དང་ཡིད་བདེའི་རྒྱུ། ||| Without needing to sow or plough, they cause happiness and satisfaction.
།སྡུག་བསྔལ་མང་པོའི་རྩ་བ་ཁྱིམ་འདི་ལ། ||| The root of manifold miseries is the home.
།བླུན་པོ་དགའ་ཡི་མཁས་པ་གཞར་མི་དགའ། ||| Joy for the fool, it is not enjoyable to the wise.
།པགས་པ་ཆུ་རྒྱུས་ཤ་དང་རུས་པའི་ལུས། ||| “ ‘This body of skin, ligaments and nerves, flesh, and bones
།འདི་ནི་ང་ཡི་ཆུང་མ་འདུ་ཤེས་བསྐྱེད། ||| Creates the notion my spouse.
།བྱིས་པ་རྨོངས་པ་འདོད་ཆགས་སྐྱེད་པར་བྱེད། ||| Deluded, childish people develop attachment to it,
།བུད་མེད་སྒྱུ་མ་ལྟ་བུར་ཡོང་མ་ཤེས། ||| Not knowing that the spouse is like an illusion.
།ཤེས་རབ་ལྡན་པས་ཁྱིམ་གྱི་ཉེས་རིག་ནས། ||| “ ‘Knowing the drawbacks of the home,
།དེ་ཕྱིར་འདོད་པའི་དགའ་བ་ཀུན་སྤངས་ཏེ། ||| Those with insight thus abandon the joys they desire.
།ཆོས་ལ་སྨན་གྱི་འདུ་ཤེས་བཞག་བྱས་ནས། ||| Having affirmed the notion that Dharma is medicine,
།མ་ཆགས་ཁྱིམ་ནས་མྱུར་དུ་འབྱུང་བར་བྱེད། ||| They swiftly leave the home without attachment.’ ”
།དེ་ནས་ཁྱིམ་བདག་དཔས་བྱིན་དང་། ཁྱིམ་བདག་ལྔ་བརྒྱ་ཙམ་དེ་དག་གིས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཐོས་ནས་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་པར་གྱུར་ཏོ། ||| At this point, the householder Vīradatta and the five hundred householders, having heard this Dharma discourse, attained the acceptance that phenomena are unborn.
།དེ་དག་བཟོད་པ་ཐོབ་ནས་མཆོག་ཏུ་དགའ་བ་དང་མགུ་བར་གྱུར་ཏེ་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་གསོལ་ཏོ། ||| Having gained this acceptance, they were overjoyed and pleased. On that occasion, they spoke the following verses:
།སངས་རྒྱས་ཆོས་ལ་འདོད་གྱུར་ནས། ||| “Desiring the qualities of a buddha,
།གང་དག་གིས་ནི་སེམས་བསྐྱེད་པ། ||| We cultivate the resolve for awakening.
།ཀྱེ་མ་རྙེད་པ་རྙེད་པ་ཆེ། ||| Hey! This discovery, this great discovery,
།འདི་ནི་རྙེད་པ་ཀུན་གྱི་མཆོག །བྱང་ཆུབ་སེམས་ནི་དགའ་བ་སྟེ། ||| Is the best of all discoveries! “The resolve for awakening is joyful.
།སེམས་ཅན་ཐམས་ཅད་བདེ་བགྱིད་པའི། །སེམས་འདིར་སུ་དག་དགའ་སྐྱེད་པ། ||| Those who here cultivate this resolve, Which brings happiness to all sentient beings,
།དེ་དག་འཚོ་བ་ལེགས་པར་འཚོ། ||| Will live a good life.
།སེམས་ཅན་ཀུན་ལ་ཕན་བགྱིད་པའི། །སེམས་འདི་གང་དག་བསྐྱེད་གྱུར་པ། །དེ་དག་སེམས་ཅན་ཐམས་ཅད་དགའ། །དེ་དག་མཐོང་ན་དགའ་བར་འགྱུར། ||| “Whoever cultivates this resolve, Which benefits all sentient beings, Will be overjoyed when they see That all sentient beings are joyful.
།བྱང་ཆུབ་སེམས་ལ་སུ་དགའ་བ། །དེ་དག་ལུས་ནི་གསེར་འདྲ་ཞིང་། །མཚན་གྱིས་ཤིན་ཏུ་སྤྲས་པ་དང་། །འཇིག་རྟེན་སྣང་བར་བྱེད་པར་འགྱུར། ||| “Those who delight in the resolve for awakening Will become illuminators of the world, With bodies like gold And fully adorned with the special marks.
།བྱང་ཆུབ་སེམས་ནི་སེམས་ཆེ་སྟེ། ||| “The resolve for awakening is a great resolve.
།སེམས་ཀུན་ནང་ན་དགེ་བ་མཆོག །ཡོན་ཏན་ཐམས་ཅད་ཕུན་སུམ་ཚོགས། ||| It is the supreme happiness among all sentient beings. It is the most excellent of all qualities.
།ནད་ཀུན་རབ་ཏུ་ཞི་བར་བགྱིད། ||| It pacifies all illness.
།སེམས་ཅན་བསོད་ནམས་ཆུང་ངུ་རྣམས། ||| “Sentient beings of little merit
།བྱང་ཆུབ་སེམས་ནི་འདོད་མི་བགྱིད། ||| Do not wish for the resolve for awakening.
།འཁོར་བ་ལ་ནི་མི་རྟོག་པ། ||| They do not think of it in saṃsāra,
།བྱང་ཆུབ་སེམས་ཀྱིས་སྐྱོ་བར་འགྱུར། ||| And the resolve for awakening makes them weary.
།བྱང་ཆུབ་སེམས་ཀྱི་བསོད་ནམས་གང་། ||| “If the merits of the resolve for awakening
།དེ་ལ་གལ་ཏེ་གཟུགས་མཆིས་ན། ||| Were to assume physical form,
།ནམ་མཁའི་ཁམས་ནི་ཀུན་གང་སྟེ། །དེ་ནི་དེ་བས་ལྷག་པར་འགྱུར། ||| They would fill the whole expanse of space And exceed even that.
།གང་གཱའི་བྱེ་མའི་གྲངས་སྙེད་ཀྱི། །སངས་རྒྱས་ཞིང་རྣམས་མི་གང་གིས། །རིན་ཆེན་དག་གིས་རབ་བཀང་སྟེ། །འཇིག་རྟེན་མགོན་ལ་ཕུལ་བ་བས། ||| “If someone were to fill with jewels As many buddha fields as there are grains of sand In the Ganges River, As an offering to the Protector of the World,
།གང་གིས་ཐལ་མོ་སྦྱར་བགྱིས་ཏེ། ||| “This offering would be surpassed
།བྱང་ཆུབ་ཏུ་ནི་སེམས་བཏུད་ན། །མཆོད་པ་འདི་ནི་ཁྱད་པར་འཕགས། ||| When someone with joined palms Directs their resolve toward awakening,
།དེ་ལ་མཐའ་ནི་མ་མཆིས་སོ། ||| Because that does not have a limit.
།བྱང་ཆུབ་སེམས་ནི་ཅི་འདྲ་བ། ||| “What is the resolve for awakening like?
།དྲང་སྲོང་མཆོག་གིས་བསྟན་མཛད་པའི། ||| Transmitted by the exalted Seer,
།དེ་འདྲའི་མཆོད་པ་གཞན་མ་མཆིས། ||| There is no other offering like it.
།དཔལ་ཡང་གཞན་ནི་མཆིས་མ་ལགས། ||| There is nothing so magnificent.
།སྨན་གྱི་དམ་པ་ནད་མ་མཆིས། ||| “The best of medicines for being without illness,
།བྱང་ཆུབ་སེམས་ནི་ཡོན་ཏན་ལྡན། ||| The resolve for awakening possesses all good qualities.
།ནད་ཀུན་རབ་ཏུ་ཞི་བར་བགྱིད། ||| It thoroughly quells all illnesses.
།སེམས་ཅན་ཐམས་ཅད་བདེ་བར་བགྱིད། །མེ་གསུམ་དག་གིས་གདུངས་པ་ཡི། །སེམས་ཅན་སྡུག་བསྔལ་མཐོང་ནས་ནི། ||| It makes all sentient beings happy. “Having witnessed the suffering of sentient beings Tormented by the three fires,
།བསྐལ་པ་དཔག་ཏུ་མེད་པར་སྤྱོད། ||| The wise practice for immeasurable eons,
།མཁས་རྣམས་སྐྱོ་བར་ཡང་མི་འགྱུར། ||| Never becoming discouraged.
།གང་དག་བྱང་ཆུབ་སྤྱད་སྤྱོད་པ། ||| “Those who perform practices dedicated to awakening
།དཔའ་བོ་སྨན་པའི་རྒྱལ་པོ་འདྲ། ||| Are heroes comparable to the king of physicians.
།དེ་དག་སེམས་ཅན་སྡུག་བསྔལ་སྐྱོབ། ||| Protecting beings from suffering,
།སྐྱོ་བ་རྟག་ཏུ་རྣམ་པར་སྤངས། ||| They always abandon discouragement.
།དཔའ་བོ་སངས་རྒྱས་ཆོས་འཚལ་བ། ||| “These heroes seek the qualities of a buddha.
།འགྲོ་བའི་སྐྱེ་བ་ཐམས་ཅད་དུ། །སེམས་དེ་འདོར་བར་མི་བགྱིད་ཅིང་། ||| They never give up that resolve Throughout all their rebirths in transmigration,
།དེ་དག་བརྟུལ་ཞུགས་དེ་ཡང་སྟོན། ||| And they also teach this discipline.
།སེམས་འདི་ལ་ནི་གང་དགའ་བ། །ཤཱཀྱ་སེང་གེ་མི་ཡི་མཆོག །སངས་རྒྱས་ཅི་འདྲ་དེ་འདྲར་འགྱུར། ||| “We who delight in this resolve Become the best of humans, Just like the Lion of the Śākyas.
།བདག་ཅག་རྙེད་པ་ལེགས་པར་རྙེད། ||| We properly discover what is to be discovered.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་འཛུམ་པ་མཛད་དོ། ||| Then the Blessed One smiled.
།འདི་ནི་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་གང་གི་ཚེ་འཛུམ་པ་མཛད་པ་ན་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་ཀྱི་ཆོས་ཉིད་དེ། བཅོམ་ལྡན་འདས་ཀྱི་ཞལ་གྱི་སྒོ་ནས་འོད་འཕྲོ་བ་ཁ་དོག་སྣ་ཚོགས་ཁ་དོག་དུ་མ་བྱུང་བ་འདི་ལྟ་སྟེ། ||| The nature of buddhas, of blessed ones, is such that when they smile, light of many colors appears from their mouth:
སྔོན་པོ་དང་། སེར་པོ་དང་། དམར་པོ་དང་། དཀར་པོ་དང་། ལེ་བརྒན་དང་། ཤེལ་དང་། དངུལ་གྱི་ཁ་དོག་ལྟ་བུ་དག་སྟེ། ||| blue, yellow, red, white, violet, crystal, and silver.
འོད་དེས་འཇིག་རྟེན་གྱི་ཁམས་མཐའ་ཡས་མུ་མེད་པ་དག་ཁྱབ་པར་བྱས་ནས་ཚངས་པའི་འཇིག་རྟེན་གྱི་བར་དུ་མངོན་པར་བྱུང་སྟེ་ཉི་ཟླ་རྣམས་ཀྱི་གཟི་བརྗིད་ཟད་པར་བྱས་ནས་སླར་ལོག་སྟེ། ||| These lights, after pervading the world systems without end and rising up to the worlds of Brahmā, filled the entire world with the radiance of the sun and moon.
བཅོམ་ལྡན་འདས་ལ་ལན་གསུམ་བསྐོར་བ་བྱས་ནས་བཅོམ་ལྡན་འདས་ཀྱི་དབུའི་གཙུག་ཏུ་ནུབ་བོ། ||| They then came back down and, having circumambulated the Blessed One three times, disappeared into the Blessed One’s head.
།དེ་ནས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་སྟན་ལས་ལངས་ཏེ་བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས་པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། ||| At this point, Venerable Ānanda arose from his seat and, placing his robe over one shoulder, knelt on his right knee.
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ||| With palms pressed together in the direction the Blessed One, he spoke the following words to the Blessed One:
།བཅོམ་ལྡན་འདས་རྒྱུ་མ་མཆིས། རྐྱེན་མ་མཆིས་པར་ནི་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་འཛུམ་པ་མི་མཛད་ན། འཛུམ་པ་མཛད་པའི་རྒྱུ་གང་ལགས། ||| “Blessed One, since the thus-gone, worthy, completely awakened buddhas do not smile without a cause, without a reason, what is the cause for your smile?
རྐྱེན་གང་ལགས། ||| What is the reason?”
དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་ཀྱང་གསོལ་ཏོ། ||| On this occasion, he requested an answer with these verses:
།རྒྱུ་མ་མཆིས་པར་རྣམ་འདྲེན་རྒྱལ་བ་མཆོག །སངས་རྒྱས་སྐྱོབ་པ་འཛུམ་པ་མི་སྟོན་ན། ||| “If the leader, the supreme Victorious One, The Buddha, the protector, does not reveal his smile without cause,
།ཅི་སླད་བཅོམ་ལྡན་ཁྱོད་ཀྱིས་འཛུམ་མཛད་པ། ||| Why do you smile, Blessed One?
།འཇིག་རྟེན་ཕན་དགོངས་ཐུགས་བརྩེ་བདག་ལ་གསུངས། ||| I speak out of heartfelt kindness and with the intention to benefit the world.
།ཁྱོད་ཀྱིས་ཅི་སླད་དེ་རིང་འཛུམ་བསྟན་གསུངས། ||| “Why do you reveal this smile today?
།བཀའ་མཆིད་ཆེ་ལྡན་ནོར་མཆོག་སྦྱིན་མཛད་པ། ||| Please give us the supreme jewel of your superb advice,
།དབུལ་པོར་གྱུར་པ་ནོར་དང་ལྡན་པར་མཛོད། ||| A treasury of wealth for the poor.
།འཇིག་རྟེན་ལྡོངས་ལ་མྱུར་དུ་མིག་ཀྱང་སྩོལ། ||| Please quickly offer these eyes for the blind in the world.”
།དེ་སྐད་ཅེས་གསོལ་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་བཀའ་སྩལ་པ། ཀུན་དགའ་བོ་ཁྱོད་ཀྱིས་གང་དག་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་ནས་དེ་བཞིན་གཤེགས་པའི་གན་དུ་ལྷགས་པའི་ཁྱིམ་བདག་ལྔ་བརྒྱ་ཙམ་འདི་དག་མཐོང་ངམ། གསོལ་པ། ||| After Venerable Ānanda spoke these words, the Blessed One replied, “Ānanda, do you see, near the Tathāgata, these five hundred householders who have produced the resolve for unsurpassable, complete and perfect awakening?”
བཅོམ་ལྡན་འདས་མཐོང་ལགས་སོ། ||| “I see them, Blessed One,” he replied.
།བདེ་བར་གཤེགས་པ་མཐོང་ལགས་སོ། ||| “I see them, Tathāgata.”
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ཀུན་དགའ་བོ་ཁྱིམ་བདག་ལྔ་བརྒྱ་ཙམ་འདི་དག་གིས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཐོས་ནས་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་སྟེ། ||| Then the Blessed One said, “Ānanda, when these five hundred householders have heard the Dharma discourses, they will attain the acceptance that phenomena are unborn.
ཀུན་དགའ་བོ་ཁྱིམ་བདག་འདི་དག་ཐམས་ཅད་ནི་སྔོན་གྱི་རྒྱལ་བ་ལ་ལྷག་པར་བྱ་བ་བྱས་པ། དགེ་བའི་རྩ་བ་བསྐྱེད་པ། སངས་རྒྱས་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་མང་པོ་ལ་བསྙེན་བཀུར་བྱས་པ་དག་སྟེ། ||| Ānanda, these householders will all perform outstanding deeds for the victorious ones of the past, cultivate the roots of virtue, and pay homage to the many billions of buddhas.
ཁྱིམ་བདག་འདི་དག་འདི་ནས་ཤི་འཕོས་ནས་ནམ་དུ་ཡང་ངན་འགྲོ་ལོག་པར་ལྟུང་བར་འགྲོ་བར་མི་འགྱུར་ཞིང་ཕྱིས་ཀྱང་ལྷ་དང་མི་རྣམས་ཀྱི་ནང་དུ་བདེ་བ་མྱོང་ནས་མཐར་གྱིས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་བྱམས་པ་མཉེས་པར་བྱེད་ཅིང་ཐུགས་བྱུང་བར་མི་བྱེད་དེ་བསྟི་སྟང་བྱེད་པར་འགྱུར། བཙུན་པར་བྱེད་པར་འགྱུར། རིམ་གྲོ་བྱེད་པར་འགྱུར། མཆོད་པ་བྱེད་པར་འགྱུར་རོ། ||| When these householders have transmigrated from here after dying, they will never fall into lower destinies, and having later experienced happiness among gods and humans, they will eventually revere, honor, serve, and worship the thus-gone, worthy, complete and perfect Buddha Maitreya, delighting and never displeasing him.
།བསྐལ་པ་བཟང་པོའི་སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཐམས་ཅད་ཀྱང་མཉེས་པར་བྱེད་ཅིང་ཐུགས་བྱུང་བར་མི་བྱེད་དེ་བསྟི་སྟང་བྱེད་པར་འགྱུར། བཙུན་པར་བྱེད་པར་འགྱུར། རིམ་གྲོ་བྱེད་པར་འགྱུར། མཆོད་པ་བྱེད་པར་འགྱུར་རོ། ||| They will also revere, honor, serve, and worship all the buddhas, blessed ones, of this fortunate eon, delighting and never displeasing them.
།སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་དག་ལས་ཆོས་ཀྱང་ཉན་པར་འགྱུར་ཏེ། ཐོས་ནས་ཀྱང་འཛིན་པར་འགྱུར། ཀུན་ཆུབ་པར་བྱེད་པར་འགྱུར། གཞན་དག་ལ་ཡང་རྒྱ་ཆེར་རབ་ཏུ་སྟོན་པར་འགྱུར་རོ། ||| They will listen to the Dharma from those buddhas, those blessed ones, and having heard it, they will retain it, master it, and teach it extensively to others.
།དེའི་འོག་ཏུ་བསྐལ་པ་ཉི་ཤུ་རྩ་ལྔ་ན། སངས་རྒྱས་ཀྱི་ཞིང་ཐ་དད་པ་དག་ཏུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་སྟེ། དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་པད་མའི་དཔལ་གྱི་སྙིང་པོ་ཞེས་བྱ་བར་མཚན་འཐུན་པར་འཇིག་རྟེན་དུ་འབྱུང་བར་འགྱུར་རོ། ||| After twenty-five eons, they will awaken to unsurpassable, complete and perfect awakening in various buddha fields, and they will equally appear in the world bearing the name thus-gone, worthy, complete and perfect Buddha Padmaśrīgarbha.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །ཀྱེ་མ་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་འདི་ལྟར་རྒྱ་ཆེ་བ་ནི་བཅོམ་ལྡན་འདས་ངོ་མཚར་ཏོ། ||| At this point, the venerable Ānanda said to the Blessed One, “Ah, how wonderful is this extensive Dharma discourse, Blessed One!
།བདེ་བར་གཤེགས་པ་ངོ་མཚར་ཏོ། ||| It is so wonderful, Sugata.
།བཅོམ་ལྡན་འདས་ཆོས་ཀྱི་རྣམ་གྲངས་འདིའི་མིང་ཅི་ལགས། འདི་ཇི་ལྟར་གཟུང་བར་བགྱི། བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| Blessed One, what is the name of this Dharma discourse? How should we remember it?”
ཀུན་དགའ་བོ་དེའི་ཕྱིར་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་བྱང་ཆུབ་སེམས་དཔའི་རྣལ་འབྱོར་སྤྱོད་པའི་ས་བསྟན་པ་ཞེས་བྱ་བར་ཟུང་ཤིག །དཔས་བྱིན་གྱིས་ཞུས་པ་ཞེས་བྱ་བར་ཡང་ཟུང་ཤིག །བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། ||| The Blessed One replied, “In this regard, Ānanda, this Dharma discourse is called The Teaching on the Stages of Yoga for Bodhisattvas, and this is how it should be remembered. It should also be remembered as The Questions of Vīradatta.
