༄༅། །རྒྱ་གར་སྐད་དུ། མཱ་ཡཱ་ཛཱ་ལཾ་ནཱ་མ་མ་ཧཱ་སཱུ་ཏྲཾ། བོད་སྐད་དུ།
མདོ་ཆེན་པོ་སྒྱུ་མའི་དྲ་བ་ཞེས་བྱ་བ། དཀོན་མཆོག་གསུམ་ལ་ཕྱག་འཚལ་ལོ། ། ||| The Mahāsūtra “Illusion’s Net” Homage to the Three Jewels.
སྡུག་བསྔལ་བ་ལ་བདེ་བར་འདུ་ཤེས་པ་དང་། ||| I perceived suffering as happiness.
མི་གཙང་བ་ལ་གཙང་བར་འདུ་ཤེས་པ་དང་། ||| I perceived impurity as purity.
བདག་མེད་པ་ལ་བདག་ཏུ་འདུ་ཤེས་པར་གྱུར་ཏོ་སྙམ་དུ་སེམས་སོ། ། ||| I perceived the absence of a self as a self.’
དགེ་སློང་དག་འདི་ལྟ་སྟེ། ||| “Here is an analogy, monks.
དཔེར་ན་སྐྱེས་བུ་གཉིད་ཀྱིས་ལོག་པའི་རྨི་ལམ་ལ་འདོད་པའི་ཡོན་ཏན་ལྔས་རྩེ་ཞིང་དགའ་ལ་དགའ་མགུར་སྤྱོད་པར་བྱེད་པ་ལས་ཕྱིས་སད་པ་ན་ཅུང་ཟད་ཀྱང་མི་སྣང་བར་གྱུར་པའི་ཚེ། ||| A person who is asleep might revel in and enjoy objects desirable to the five senses in a dream, yet when they wake up afterward there is nothing there.
དེ་ལ་སེམས་ཅན་བྱིས་པའི་རང་བཞིན་ཅན་དང་། རྨོངས་པའི་རང་བཞིན་ཅན་དང་། ཤེས་རབ་འཆལ་པའི་རང་བཞིན་ཅན་གང་དག་ཡིན་པ་དེ་དག་ནི་འདི་སྙམ་དུ་སེམས་ཏེ། གང་དག་བདག་ཅག་གིས་རྨི་ལམ་ན་དགའ་མགུར་སྤྱད་པའི་འདོད་པའི་ཡོན་ཏན་ལྔ་པོ་དེ་དག་ནི་བདེན་པ་དང་གནས་པའི་སྒོ་ནས་ཡོད་དོ་སྙམ་དུ་སེམས་སོ། ། ||| At that point, beings with a childish, deluded, and confused disposition think, ‘There were those objects desirable to the five senses that we enjoyed in our dreams, real and present there.’
སེམས་ཅན་བྱིས་པའི་རང་བཞིན་ཅན་མ་ཡིན་པ་དང་། རྨོངས་པའི་རང་བཞིན་ཅན་མ་ཡིན་པ་དང་། ཤེས་རབ་དང་ལྡན་པའི་རང་བཞིན་ཅན་གང་དག་ཡིན་པ་དེ་དག་ནི་འདི་སྙམ་དུ་སེམས་ཏེ། གང་དག་བདག་ཅག་གིས་རྨི་ལམ་ན་དགའ་མགུར་སྤྱོད་པའི་འདོད་པའི་ཡོན་ཏན་ལྔ་པོ་དེ་དག་ནི་བདེན་པ་དང་གནས་པའི་སྒོ་ནས་ཡོད་པ་མ་ཡིན་ཏེ། ||| “Beings whose disposition is insightful instead of childish or deluded think, ‘There were no objects desirable to the five senses that we enjoyed in our dreams, real and present there.
རྨི་ལམ་དེ་འབའ་ཞིག་ཡོད་དོ། །སེམས་སླུ་བར་བྱེད་པ་དེ་འབའ་ཞིག་ཡོད་དོ་སྙམ་དུ་སེམས་སོ། ། ||| That was only a dream, just a mental delusion.’
དགེ་སློང་དག་དེ་བཞིན་དུ་འཕགས་པ་ཉན་ཐོས་ཐོས་པ་དང་ལྡན་པ་ཡང་བདག་གི་ལུས་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བ་འདས་པ་དང་། མ་འོངས་པ་དང་། ད་ལྟར་བྱུང་བའི་རེག་བྱ་གང་དག་ཡིན་པ་འདི་དག་ལ་རྟག་པ་ཉིད་དམ། བརྟན་པ་ཉིད་དམ། ཐེར་ཟུག་པ་ཉིད་དམ། དེ་བཞིན་ཉིད་དམ། མ་ནོར་བ་དེ་བཞིན་ཉིད་དམ། གཞན་མ་ཡིན་པ་དེ་བཞིན་ཉིད་དམ། ཡང་དག་པ་ཉིད་དམ། བདེན་པ་ཉིད་དམ། དེ་ཁོ་ན་ཉིད་དམ། ཇི་ལྟ་བ་བཞིན་ཉིད་དམ། ||| “Monks, in the same way, noble hearers who are learned think, ‘All of the past, future, and present textures my body perceives lack permanence, stability, unchangeability, a true nature, an unmistaken true nature, a unique true nature, genuine reality, truth, suchness, a way things really are, infallibility, and incontrovertibility.
མ་ནོར་བ་ཉིད་དམ། ཕྱིན་ཅི་མ་ལོག་པ་ཉིད་མེད་དེ། གསོག་ཀྱང་དེ་ཉིད་ཡིན་ལ། ||| They are hollow.
གསོབ་ཀྱང་དེ་ཉིད་ཡིན། ||| They are vain.
སྙིང་པོ་མེད་པ་ཡང་དེ་ཉིད་ཡིན། ||| They have no essence.
བརྫུན་པ་ཡང་དེ་ཉིད་ཡིན། ||| They are false.
སླུ་བའི་ཆོས་ཀྱང་དེ་ཉིད་ཡིན། ||| They are deceptive phenomena.
བདུད་ཀྱང་དེ་ཉིད་ཡིན། ||| They are Māra.
བདུད་ཀྱི་ཡོ་བྱད་ཀྱང་དེ་ཉིད་ཡིན། ||| They are Māra’s tools.
རོ་ཡང་དེ་ཉིད་ཡིན། ||| They are corpses.
རོའི་གཟུགས་ཀྱང་དེ་ཉིད་ཡིན་པས། ||| They are corpse-like forms.
དེ་ལ་ནི་མངོན་པར་དགའ་བར་བྱ་བའམ། མངོན་པར་བརྗོད་པར་བྱ་བའམ། ལྷག་པར་ཆགས་པར་བྱ་བའམ། ལྷག་པར་ཆགས་ཤིང་གནས་པར་བྱ་བར་མི་རིགས་ཀྱི། ||| Therefore, it does not make sense to delight in them, speak highly of them, or become and remain excessively attached to them.
བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ། ||| The noble, supramundane wisdom taught by the Blessed One is true.’
འཕགས་པ་འཇིག་རྟེན་ལས་འདས་པ་ནི་བདེན་ནོ་ཞེས་དེ་ལྟར་སོ་སོར་རྟོག་པར་བྱེད་དོ། ། ||| That is how they conduct a thorough analysis.
དེས་དེ་ལྟར་ཤེས་ནས་ལུས་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བ་འདས་པ་དང་། མ་འོངས་པ་དང་། ད་ལྟར་བྱུང་བའི་རེག་བྱ་རྣམས་ནད་དུ་ཡང་དག་པར་རྗེས་སུ་མཐོང་ཞིང་། འབྲས་དང་། ཟུག་རྔུ་དང་། ||| “Having understood that, they correctly see all textures perceived by their body in the past, future, and present as a sickness.
སྡིག་པ་དང་། མི་རྟག་པ་དང་། སྡུག་བསྔལ་བ་དང་། སྟོང་པ་དང་། བདག་མེད་པར་ཡང་དག་པར་རྗེས་སུ་མཐོང་ངོ་། །དེ་ལུས་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བ་འདས་པ་དང་། མ་འོངས་པ་དང་། ད་ལྟར་བྱུང་བའི་རེག་བྱ་རྣམས་ནད་དུ་ཡང་དག་པར་རྗེས་སུ་མཐོང་ཞིང་། འབྲས་དང་། ཟུག་རྔུ་དང་། ||| They correctly see them as a cancer, a splinter, a scorpion’s sting, impermanent, suffering, empty, and lacking a self.
སྡིག་པ་དང་། མི་རྟག་པ་དང་། སྡུག་བསྔལ་བ་དང་། སྟོང་པ་དང་། བདག་མེད་པར་ཡང་དག་པར་རྗེས་སུ་མཐོང་བ་ན། དེའི་ལུས་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བ་འདས་པ་དང་། མ་འོངས་པ་དང་། ད་ལྟར་བྱུང་བའི་རེག་བྱ་དག་ལ་ལོག་པར་མོས་པའམ། འདུ་ཤེས་ཕྱིན་ཅི་ལོག་གམ། སེམས་ཕྱིན་ཅི་ལོག་གམ། ལྟ་བ་ཕྱིན་ཅི་ལོག་ཏུ་གྱུར་པ་འདི་ལྟ་སྟེ། བརྣབ་སེམས་ཀྱི་ཚོགས་ཀྱི་མདུད་པ་དང་། གནོད་སེམས་ཀྱི་ཚོགས་ཀྱི་མདུད་པ་དང་། ཚུལ་ཁྲིམས་དང་བརྟུལ་ཞུགས་མཆོག་ཏུ་འཛིན་པའི་ཚོགས་ཀྱི་མདུད་པ་དང་། ||| “When they correctly see all the textures perceived by their body in the past, future, and present as a sickness, and they correctly see them as a cancer, as a splinter, as a scorpion’s sting, as impermanent, suffering, empty, and lacking a self, they then abandon mistaken beliefs, wrong ideas, incorrect thoughts, and incorrect views regarding past, future, and present textures perceived by the body that are the psychophysical bonds of covetousness, malice, a sense of moral and ascetic supremacy, and thinking, ‘This is the truth,’ and clinging to it as real.
འདི་བདེན་ནོ་སྙམ་དུ་མངོན་པར་ཞེན་ཅིང་མཆོག་ཏུ་འཛིན་པའི་ཚོགས་ཀྱི་མདུད་པ་གང་དག་ཡིན་པ་དེ་དག་སྤོང་བར་བྱེད་དོ། ། ||| “By abandoning those bonds, they render Māra blind, depressed, and disoriented and stand their ground.
དེ་དག་སྤངས་པའི་ཕྱིར་བདུད་ལྡོངས་པ་དང་ཡི་ཆད་པ་དང་། ཕྱོགས་མེད་པར་བྱས་ཏེ་གནས་ཤིང་བདུད་སྡིག་ཅན་གྱིས་མི་མཐོང་བར་སོང་ནས་བདུད་དང་བདུད་ཀྱི་འཁོར་བཅོམ་ཞིང་གཡུལ་ཆེན་པོའི་གཡུལ་སྤྲད་དེ། ||| Since evil Māra can no longer see them, they destroy Māra and his retinue and wage battle against his great army.
གཡུལ་ལས་རྣམ་པར་རྒྱལ་བ་དང་། གཡུལ་ངོ་དེ་ཉིད་མངོན་པར་ཕམ་པར་བྱས་ཤིང་གནས་ཏེ། ||| They are victorious in battle, destroy the army, and stand their ground.
དེ་ལྟར་ན་འདི་ལ་འཕགས་པ་ཉན་ཐོས་ལྷག་པའི་ཤེས་རབ་ལ་བརྩོན་པའི་རྗེས་སུ་སྦྱོར་བ་ལ་གནས་པ་ནི་ཤེས་རབ་ཀྱིས་འཚོ་བ་རྣམས་ཀྱི་ནང་ན་བླ་ན་མེད་པས་འཚོ་བ་ཡིན་ནོ། ། ||| This is how noble hearers who remain engaged in practicing superior wisdom are supported by wisdom, which among all supports is unsurpassed.
དགེ་སློང་དག་ཡང་ཇི་ལྟར་ན་འཕགས་པ་ཉན་ཐོས་ལྷག་པའི་ཤེས་རབ་ལ་སྦྱོར་བས་རྗེས་སུ་ཞུགས་པ་ལ་གནས་པ་ཤེས་རབ་ཀྱིས་འཚོ་བ་རྣམས་ཀྱི་ནང་ན་བླ་ན་མེད་པས་འཚོ་བ་ཡིན་ཞེ་ན། ||| “Monks, how else are noble hearers who remain engaged in practicing superior wisdom supported by wisdom, which among all supports is unsurpassed?
དགེ་སློང་དག་འདི་ལ་འཕགས་པ་ཉན་ཐོས་ལྷག་པའི་ཤེས་རབ་ལ་སྦྱོར་བར་རྗེས་སུ་ཞུགས་པ་ལ་གནས་པ་ནི་བདག་སྔོན་ཡིད་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་ཆོས་ཡིད་བདེ་བའི་གནས་ལྟ་བུ་དག་ལ་ནི་རྗེས་སུ་ཆགས་ཤིང་གནས་པར་གྱུར་ལ། ||| Monks, noble hearers who remain engaged in practicing superior wisdom consider the following to conduct a thorough analysis: ‘Formerly, I became and remained attached to pleasant phenomena perceived by the mind.
ཡིད་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་ཆོས་ཡིད་མི་བདེ་བའི་གནས་ལྟ་བུ་དག་ལ་ནི་ཁོང་ཁྲོ་བ་དང་ལྡན་ཞིང་གནས་པར་གྱུར། ||| I became and remained averse to unpleasant phenomena perceived by the mind.
ཡིད་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་ཆོས་བཏང་སྙོམས་ཀྱི་གནས་ལྟ་བུ་དག་ལ་ནི་སོ་སོར་བརྟགས་པ་མ་ཡིན། སོ་སོར་བརྟགས་པ་མ་ཡིན་པའི་བཏང་སྙོམས་སུ་གནས་པར་གྱུར་ཏེ། ||| I became and remained thoughtlessly indifferent to neutral phenomena perceived by the mind.
དེ་ལྟར་བདག་ཡུན་རིང་པོ་ནས་འདི་ལ་རྗེས་སུ་སློབ་ཅིང་རྗེས་སུ་བྱེད་པ་ན། རྒ་བ་དང་། འཆི་བ་ཉམས་སུ་མྱོང་ཞིང་། ||| I have trained myself and behaved in this way for a long time, and so I have experienced old age and death.
སྔོན་གྱི་མཐའ་མི་མངོན་པར་གྱུར་པས་བདག་གིས་ད་ནི་ཡིད་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་ཆོས་དག་ལ་སྔོན་ཇི་ལྟ་བ་དེ་ལྟར་བསླབ་པར་མི་བྱ་ཞིང་། བདག་གིས་ཡིད་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བ་འདས་པ་དང་། མ་འོངས་པ་དང་། ད་ལྟར་བྱུང་བའི་ཆོས་དག་ལ་ལོག་པར་མོས་པའམ། འདུ་ཤེས་ཕྱིན་ཅི་ལོག་གམ། སེམས་ཕྱིན་ཅི་ལོག་གམ། ||| The past is gone, so today I will no longer train myself as I did before regarding phenomena perceived by the mind.
ལྟ་བ་ཕྱིན་ཅི་ལོག་ཏུ་གྱུར་པ་འདི་ལྟ་སྟེ། བརྣབ་སེམས་ཀྱི་ཚོགས་ཀྱི་མདུད་པ་དང་། གནོད་སེམས་ཀྱི་ཚོགས་ཀྱི་མདུད་པ་དང་། ཚུལ་ཁྲིམས་དང་བརྟུལ་ཞུགས་མཆོག་ཏུ་འཛིན་པའི་ཚོགས་ཀྱི་མདུད་པ་དང་། འདི་བདེན་ནོ་སྙམ་དུ་མངོན་པར་ཞེན་ཅིང་མཆོག་ཏུ་འཛིན་པའི་ཚོགས་ཀྱི་མདུད་པ་གང་དག་ཡིན་པ་དེ་དག་སྤང་བའི་ཕྱིར་བསླབ་པར་བྱ་ཞིང་། དེ་དག་སྤངས་པར་གྱུར་ཅིག་ཅེས་དེ་ལྟར་སོ་སོར་རྟོག་པར་བྱེད་པའི་ཕྱིར་རོ། ། ||| I must train myself to abandon mistaken beliefs, wrong ideas, incorrect thoughts, and incorrect views regarding past, future, and present phenomena perceived by the mind that are the psychophysical bonds of covetousness, malice, a sense of moral and ascetic supremacy, and thinking, “This is the truth,” and clinging to it as real—and then I must abandon them.’
དགེ་སློང་དག་འོན་ཀྱང་འདི་ན་ཁ་ཅིག་ལ་ནི་ཡིད་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་ཆོས་དེ་དག་ཉིད་ཡིད་དུ་འོང་བར་འགྱུར་ལ། གཞན་དག་ལ་ནི་དེ་དག་ཉིད་ཡིད་དུ་མི་འོང་བར་འགྱུར་བ་ཡང་ཡོད་ལ། ||| “Moreover, monks, the very same phenomena perceived by the mind may be pleasant to some but unpleasant to others.
དེ་དག་ལ་ཡང་དུས་ལ་ལར་ནི་ཡིད་བདེ་བའི་གནས་ལྟ་བུ་དག་ཏུ་འགྱུར་ཞིང་། དུས་ལ་ལར་ནི་ཡིད་མི་བདེ་བའི་གནས་ལྟ་བུ་དག་ཏུ་འགྱུར། དུས་ལ་ལར་ནི་བཏང་སྙོམས་ཀྱི་གནས་ལྟ་བུ་དག་ཏུ་འགྱུར་ཏེ། ||| Sometimes they will be pleasant to them, sometimes they will be unpleasant, and sometimes they will be neutral.
དགེ་སློང་དག་དེ་ལྟར་ན་འདི་ལ་སེམས་ཅན་རྣམས་ཡུན་རིང་པོ་ནས་སེམས་ཀྱིས་བསྒྲིབས་ཤིང་། སེམས་ཀྱིས་བྲིད། སེམས་ཀྱིས་བསླུས་ནས་ཉེས་དམིགས་སུ་མི་མཐོང་ཞིང་། ||| Monks, beings have been obscured by their minds in this way for a long time, and since they have been deceived and duped by their minds, they do not recognize the error.
ངེས་པར་འབྱུང་བ་རབ་ཏུ་མི་ཤེས་ཏེ། བདུད་སྡིག་ཅན་ཇི་ལྟར་འདོད་པ་བཞིན་བྱེད་དུ་འཇུག་གོ། ། ||| They have no conception of renunciation, and evil Māra forces them to do whatever he desires.
དགེ་སློང་དག་དགེ་སྦྱོང་ངམ། བྲམ་ཟེ་གང་དག་ཁ་ཅིག་ཡིད་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་ཆོས་འདི་དག་ཉིད་བདེན་པ་དང་གནས་པའི་སྒོ་ནས་མ་མཐོང་ཞིང་། ཇི་ལྟར་རང་རང་ལོག་པར་མོས་པ་དག་ལ་ནན་གྱིས་བཟུང་སྟེ། ||| “Monks, some śramaṇas and brāhmaṇas do not see those phenomena that are perceived by the mind as they truly and really are, so they stubbornly hold on to their own mistaken beliefs.
མངོན་པར་ཞེན་པར་བྱས་ནས་འདི་ཉིད་བདེན་གྱི་གཞན་ནི་བརྫུན་པའོ་ཞེས་རྗེས་སུ་ཐ་སྙད་འདོགས་པར་བྱེད་པ་དེ་དག་ནི་ཡིད་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་ཆོས་ཡིད་བདེ་བའི་གནས་ལྟ་བུ་དག་ལ་རྗེས་སུ་ཆགས་ཤིང་གནས་ཏེ། ||| They cling to them as real, thinking, ‘This is true, and anything else is false,’ and they conduct themselves accordingly. They become and remain attached to pleasant phenomena perceived by the mind.
དགེ་སྦྱོང་དང་། བྲམ་ཟེ་བརྣབ་སེམས་ཀྱི་ཚོགས་ཀྱི་མདུད་པས་ཀུན་ནས་སུན་ཕྱུང་བ། ||| These śramaṇas and brāhmaṇas are completely corrupted by the psychophysical bond of covetousness.
རྗེས་སུ་ཆགས་པའི་ཀུན་དུ་སྦྱོར་བ་དང་ལྡན་པ་དེ་དག་ཀྱང་བདུད་སྡིག་ཅན་ཇི་ལྟར་འདོད་པ་བཞིན་བྱེད་དུ་འཇུག་པ་ཡིན་ནོ། ། ||| They are entangled in attachment, and so they too are forced to do whatever evil Māra desires.
དགེ་སློང་དག་དགེ་སྦྱོང་ངམ། བྲམ་ཟེ་གང་དག་ཁ་ཅིག་ཡིད་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་ཆོས་འདི་དག་ཉིད་བདེན་པ་དང་གནས་པའི་སྒོ་ནས་མ་མཐོང་ཞིང་། ཇི་ལྟར་རང་རང་ལོག་པར་མོས་པ་དག་ལ་ནན་གྱིས་བཟུང་སྟེ། ||| “Monks, some śramaṇas and brāhmaṇas do not see those phenomena that are perceived by the mind as they truly and really are, so they stubbornly hold on to their own mistaken beliefs.
མངོན་པར་ཞེན་པར་བྱས་ནས་འདི་ཉིད་བདེན་གྱི་གཞན་ནི་བརྫུན་པའོ་ཞེས་རྗེས་སུ་ཐ་སྙད་ལ་འདོགས་པར་བྱེད་པ་དེ་དག་ནི་ཡིད་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་ཆོས་ཡིད་མི་བདེ་བའི་གནས་ལྟ་བུ་དག་ལ་ཁོང་ཁྲོ་བ་དང་ལྡན་པར་གནས་ཏེ། ||| They cling to them as real, thinking, ‘This is true, and anything else is false,’ and they conduct themselves accordingly. They remain averse to unpleasant phenomena perceived by the mind.
དགེ་སྦྱོང་དང་། བྲམ་ཟེ་གནོད་སེམས་ཀྱི་ཚོགས་ཀྱི་མདུད་པས་ཀུན་ནས་སུན་ཕྱུང་བ། ||| These śramaṇas and brāhmaṇas are completely corrupted by the psychophysical bond of malice.
ཁོང་ཁྲོ་བའི་ཀུན་དུ་སྦྱོར་བ་དང་ལྡན་པ་དེ་དག་ཀྱང་བདུད་སྡིག་ཅན་ཇི་ལྟར་འདོད་པ་བཞིན་བྱེད་དུ་འཇུག་པ་ཡིན་ནོ། ། ||| They are entangled in aversion, and so they too are forced to do whatever evil Māra desires.
དགེ་སློང་དག་དགེ་སྦྱོང་ངམ། བྲམ་ཟེ་གང་དག་ཁ་ཅིག་ཡིད་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་ཆོས་འདི་དག་ཉིད་བདེན་པ་དང་གནས་པའི་སྒོ་ནས་མ་མཐོང་ཞིང་། ||| “Monks, some śramaṇas and brāhmaṇas do not see those phenomena that are perceived by the mind as they truly and really are, so they stubbornly hold on to their own mistaken beliefs.
ཇི་ལྟར་རང་རང་ལོག་པར་མོས་པ་དག་ལ་ནན་གྱིས་བཟུང་སྟེ། མངོན་པར་ཞེན་པར་བྱས་ནས་འདི་ཉིད་བདེན་གྱི་གཞན་ནི་བརྫུན་པའོ་ཞེས་རྗེས་སུ་ཐ་སྙད་འདོགས་པར་བྱེད་པ་དེ་དག་ནི་ཡིད་ཀྱིས་རྣམ་པར་ཤེས་པར་བྱ་བའི་ཆོས་བཏང་སྙོམས་ཀྱི་གནས་ལྟ་བུ་དག་ལ་སོ་སོར་བརྟགས་པ་མ་ཡིན། ||| They cling to them as real, thinking, ‘This is true, and anything else is false,’ and they conduct themselves accordingly.
སོ་སོར་བརྟགས་པ་མ་ཡིན་པའི་བཏང་སྙོམས་སུ་གནས་ཏེ། ||| They remain thoughtlessly indifferent to neutral phenomena perceived by the mind.
དགེ་སྦྱོང་དང་། བྲམ་ཟེ་འདི་བདེན་ནོ་སྙམ་དུ་མངོན་པར་ཞེན་ཅིང་མཆོག་ཏུ་འཛིན་པའི་ཚོགས་ཀྱི་མདུད་པས་ཀུན་ནས་སུན་ཕྱུང་བ། ||| These śramaṇas and brāhmaṇas are completely corrupted by the psychophysical bond of thinking, ‘This is the truth,’ and clinging to it as real.
ང་རྒྱལ་གྱི་ཀུན་དུ་སྦྱོར་བ་དང་ལྡན་པ་དེ་དག་ཀྱང་བདུད་སྡིག་ཅན་ཇི་ལྟར་འདོད་པ་བཞིན་བྱེད་དུ་འཇུག་པ་ཡིན་ནོ། ། ||| They are entangled in pride, and so they too are forced to do whatever evil Māra desires.
དགེ་སློང་དག་འདི་ལྟ་སྟེ། ||| “Here is an analogy, monks.
དཔེར་ན་སྐྱེས་བུ་ཞིག་གིས་རིན་པོ་ཆེའི་ཟ་མ་ཏོག་ཡིན་པར་སེམས་ཤིང་སྦྲུལ་གྱི་ཟ་མ་ཏོག་བླངས་ཏེ་གྲོང་ཁྱེར་ཀུན་དུ་འབར་བ་ནས་འབྲོས་པར་བྱེད་ཅིང་། དེ་དེས་མངོན་པར་དགའ་བར་བྱེད་ལ་དེ་ལ་ཉེས་དམིགས་སུ་མ་མཐོང་བ་ལས་གང་གི་ཚེ་དེ་སོ་སོར་རྟོག་པར་བྱེད་པ་ན་འདི་ནི་སྦྲུལ་གྱི་ཟ་མ་ཏོག་ཡིན་གྱི། ||| A person who picks up a chest containing snakes as they flee from a fire in their village thinking that it is a chest of jewels might be delighted in doing so and not see any fault in it.
འདི་ནི་རིན་པོ་ཆེའི་ཟ་མ་ཏོག་མ་ཡིན་ནོ་ཞེས་ཤེས་པར་གྱུར་པ་དེའི་ཚེ། དེ་དེས་གདུང་བར་བྱེད། ངོ་ཚ་བར་བྱེད། གནོང་བར་བྱེད་ཅིང་རྣམ་པར་སྨོད་པར་བྱེད་དོ། ། ||| But when they thoroughly examine it and realize it is not a chest of jewels but a chest containing snakes, it brings them distress, shame, remorse, and disgust.
དགེ་སློང་དག་དེ་བཞིན་དུ། འཕགས་པ་ཉན་ཐོས་ཐོས་པ་དང་ལྡན་པ་ཡང་འཕགས་པའི་འཇིག་རྟེན་ལས་འདས་པའི་ཤེས་རབ་འདི་ཉིད་ཐོབ་ནས་སྔོན་གྱི་བྱིས་པའི་སྤྱོད་པ་དང་། རྨོངས་པའི་སྤྱོད་པ་དང་། ཤེས་རབ་འཆལ་པའི་སྤྱོད་པ་དེས་གདུང་བར་བྱེད། ངོ་ཚ་བར་བྱེད། གནོང་བར་བྱེད་ཅིང་རྣམ་པར་སྨོད་པར་བྱེད་ལ། ||| “Monks, in the same way, after noble hearers who are learned have obtained noble, supramundane wisdom, their previous childish, deluded, and confused behavior brings them distress, shame, remorse, and disgust.
དེ་འདི་སྙམ་དུ་སེམས་ཏེ། བདག་གིས་ནི་སྔོན་མི་རྟག་པ་ཁོ་ན་ལ་རྟག་པར་བསམས་ཤིང་། ||| They think, ‘Formerly, I thought there was permanence where there is only impermanence.
བདག་གིས་སྡུག་བསྔལ་བ་ཁོ་ན་ལ་ནི་བདེ་བར་བསམས། ||| I thought there was happiness where there is only suffering.
བདག་གིས་མི་གཙང་བ་ཁོ་ན་ལ་ནི་གཙང་བར་བསམས། ||| I thought there was purity where there is only impurity.
བདག་གིས་བདག་མེད་པ་ཁོ་ན་ལ་ནི་བདག་ཏུ་བསམས་ཏེ། ||| I thought there was a self where there is only the absence of a self.
དེ་ལྟར་ན་བདག་ནི་སྔོན་མི་རྟག་པ་ལ་རྟག་པར་འདུ་ཤེས་པ་དང་། ||| In this way, formerly, I perceived impermanence as permanence.
སྡུག་བསྔལ་བ་ལ་བདེ་བར་འདུ་ཤེས་པ་དང་། ||| I perceived suffering as happiness.
མི་གཙང་བ་ལ་གཙང་བར་འདུ་ཤེས་པ་དང་། ||| I perceived impurity as purity.
བདག་མེད་པ་ལ་བདག་ཏུ་འདུ་ཤེས་པར་གྱུར་ཏོ་སྙམ་དུ་སེམས་སོ། ། ||| I perceived the absence of a self as a self.’
དགེ་སློང་དག་འདི་ལྟ་སྟེ། དཔེར་ན་སྒྱུ་མ་མཁན་ནམ་སྒྱུ་མ་མཁན་གྱི་སློབ་མ་མཁས་པ་ཞིག་ལམ་པོ་ཆེའི་བཞི་མདོར་འདུག་སྟེ། ||| “Here is an analogy, monks.
སྒྱུ་མ་སྣ་ཚོགས་འདི་ལྟ་སྟེ། ནོར་བུ་དག་གམ། རྣ་ཆ་གདུབ་ཀོར་དག་གམ། མགུལ་རྒྱན་དག་གམ། གདུ་བུ་རྒྱན་ཅན་དག་གམ། དཔུང་རྒྱན་དག་གམ། ལག་རྒྱན་དག་གམ། རྐང་རྒྱན་དག་གམ། སོར་གདུབ་རྒྱན་དག་གམ། གསེར་དང་དངུལ་གྱི་ཕྲེང་བ་དག་བྱས་ཏེ་རྣམ་པར་བསྟན་པར་གྱུར་ན། དེ་ལ་སེམས་ཅན་བྱིས་པའི་རང་བཞིན་ཅན་དང་། རྨོངས་པའི་རང་བཞིན་ཅན་དང་། ཤེས་རབ་འཆལ་པའི་རང་བཞིན་ཅན་གང་དག་ཡིན་པ་དེ་དག་ནི་འདི་སྙམ་དུ་སེམས་ཏེ། གང་འདི་ལྟར་སྣང་བའི་ནོར་བུ་དག་གམ། རྣ་ཆ་གདུབ་ཀོར་དག་གམ། མགུལ་རྒྱན་དག་གམ། གདུ་བུ་རྒྱན་ཅན་དག་གམ། དཔུང་རྒྱན་དག་གམ། ལག་རྒྱན་དག་གམ། རྐང་རྒྱན་དག་གམ། ||| A magician or a skilled magician’s apprentice sits at a major crossroads and creates the following magical illusions: jewels, earrings, necklaces, bracelets, armlets, hand ornaments, anklets, rings, and gold and silver garlands.
སོར་གདུབ་རྒྱན་དག་གམ། གསེར་དང་། དངུལ་གྱི་ཕྲེང་བ་འདི་དག་ནི་བདེན་པ་དང་། གནས་པའི་སྒོ་ནས་ཡོད་དོ་སྙམ་དུ་སེམས་སོ། །སེམས་ཅན་བྱིས་པའི་རང་བཞིན་ཅན་མ་ཡིན་པ་དང་། རྨོངས་པའི་རང་བཞིན་ཅན་མ་ཡིན་པ་དང་། ཤེས་རབ་དང་ལྡན་པའི་རང་བཞིན་ཅན་གང་དག་ཡིན་པ་དེ་དག་ནི་འདི་སྙམ་དུ་སེམས་ཏེ། ||| Once these are displayed, beings who have a childish, deluded, and confused disposition think, ‘There are these jewels, earrings, necklaces, bracelets, armlets, hand ornaments, anklets, rings, and gold and silver garlands that are visible in this way, real and present there.’
