འཕགས་པ་དམ་པའི་ཆོས་དྲན་པ་ཉེ་བར་གཞག་པ། ||| The Noble Application of Mindfulness of the Sacred Dharma
།གྲོགས་པོ་མ་ཡིན་པ་རྣམས་མང་བར་མི་འགྱུར་ཞིང་། ||| They do not antagonize others.
སྐྱེ་བོ་རྣམས་ཐམས་ཅད་ཀྱིས་རྟོག་དཔྱོད་བྱེད་པར་མི་འགྱུར་རོ། ||| They are not the objects of everyone’s investigation and concern.
།ཆད་པའི་འཇིགས་པས་ཀྱང་རྣམ་པར་མི་འཇིགས་སོ། ||| They are not afraid of the terror of punishment.
།དེ་ལྟར་ཁྱིམ་པར་གྱུར་ཀྱང་འཇིགས་པ་རྣམས་མེད་པར་འགྱུར་རོ། ||| Even as householders, such people have no fear.
།སྐྱོན་གྱི་འཇིགས་པ་རྣམས་ཀུན་ཏུ་འགགས་པ་དང་ཐམས་ཅད་དུ་སོ་གསོད་པར་གནས་པ་དང་གང་ཡང་ཁྱིམ་པ་རྣམས་ཀྱང་སྐྱོན་ལས་ཀུན་ཏུ་རྒལ་བ་ཡིན་ན་ནགས་ན་གནས་པ་རྣམས་ལ་ལྟ་ཅི་སྨོས། ||| All fear of flaws comes to an end and they are successful in all regards. Since even as householders such people go beyond all flaws, there is no need to speak of the situation of living in the forest.
དེ་ཉིད་སླར་ཡང་འདོད་པ་ཆེ་བར་བྱེད་ན་ནི་དེ་སྐྱུགས་པ་ཟ་བ་དང་མཚུངས་པར་འགྱུར་རོ། ||| If such people were again to develop greed, that would be like eating vomit.
།དགེ་སྦྱོང་གི་མཆོད་པའི་མཆོག་རྣམས་ནི་འདི་ལྟ་སྟེ། འདོད་པ་ཆུང་བ་ཞེས་བྱ་བ་ཡིན་ནོ། །འདོད་པ་ཆུང་ཞིང་ཆོག་ཤེས་པའི་དགེ་སློང་རྣམས་ནི་གང་གི་ཕྱིར་ཤིན་ཏུ་ཡང་མཛེས་ཤིང་གསལ་ལ་རྣམ་པར་སྣང་ངོ་། །གདན་གཅིག་པ་འབའ་ཞིག་དང་། ཕྱག་དར་ཁྲོད་པ་འབའ་ཞིག་དང་། གཅིག་པུ་ཁོ་ན་རྒྱུ་བ་དང་། རིའི་ཁྲོད་དང་ཕུག་དག་དང་རྩྭའི་ཕུང་པོ་དང་། དུར་ཁྲོད་འབའ་ཞིག་དུ་གནས་པ་དང་། གསུས་པའི་སུམ་ཆ་འབའ་ཞིག་གིས་ཆོག་ཤེས་པ་དང་། སུ་ཡང་མི་ཤེས་པ་འབའ་ཞིག་གིས་ཡུལ་ལྗོངས་རྒྱུ་བར་བྱེད་པ་དང་། གཉེན་བཤེས་དང་གྲོགས་པོ་དང་རང་གི་སྐྱེ་བོ་རྣམས་ལ་ཡང་བསོད་སྙོམས་འབའ་ཞིག་པ་དང་། ལྷུང་བཟེད་གོག་པོ་ཅིག་འབའ་ཞིག་འཆང་བར་བྱེད་པ་དང་། ཤེས་རབ་ཀྱིས་ཕྱིན་ཅི་ལོག་འབའ་ཞིག་ཡོངས་སུ་སྤོང་བར་བྱེད་པ་དང་། ཡུལ་གང་ན་མཆོད་པར་བྱེད་པའི་ཡུལ་དེ་ཡོངས་སུ་སྤོང་བར་བྱེད་པ་དང་། ལམ་འབའ་ཞིག་ལ་ལེགས་པར་ལྟ་བ་དང་། གཉའ་ཤིང་གང་ཙམ་དུ་ལྟ་བ་དང་། གཞན་དུ་མིག་མི་གཡེང་བ་དང་། རོ་ཞིམ་པོ་འབའ་ཞིག་ཟ་བ་ལ་སྟེན་པ་སྤོང་བ་དང་། ཆུ་ཞག་དུ་མ་བསྒྲངས་པ་འབའ་ཞིག་གི་བཏུང་བ་འཐུང་བ་དང་། ཡུལ་ལྗོངས་དང་གྲོང་དག་ཏུ་ཞག་གསུམ་དང་ཞག་བདུན་འབའ་ཞིག་གནས་པར་བྱེད་པ་དང་། གསེར་དང་འཁར་བ་དང་དངུལ་གྱིས་མཛེས་པར་བྱས་པའི་ཉལ་ཁྲི་འཛིན་པར་མི་བྱེད་པ་ཁོ་ན་དང་། སྔོན་གྱི་ཁྱིམ་དང་གྲོགས་པོ་དང་གཉེན་བཤེས་ཀྱི་ལམ་ཀུན་ཏུ་ལྟ་བར་བྱེད་པ་སྤོང་བར་བྱེད་པ་འབའ་ཞིག་དང་། མཆོག་ཏུ་གྱུར་པའི་རྒྱལ་པོའི་བསོད་སྙོམས་དང་མལ་སྟན་དང་རྒྱལ་པོའི་སྒོར་སྟེན་པར་བྱེད་པ་རྣམས་སྤོང་བ་ཁོ་ནར་སྤྱོད་པ་དང་། རིགས་ཀྱིས་ཆོག་ལས་རབ་ཏུ་བྱུང་བར་ཀུན་ནས་སྒྲོགས་པ་རྣམས་སྤོང་བ་ཁོ་ནར་བྱེད་པ་དང་། དེ་དང་རང་བཞིན་མཚུངས་པ་འབའ་ཞིག་དང་བརྗོད་པ་དང་གསོང་གསལ་དང་ཀུན་རྗོད་པར་བྱེད་པ་ཡིན་ནོ། །རྣམ་པ་དེ་ལྟ་བུར་གྱུར་པའི་དགེ་སློང་གི་སྡོམ་པ་དང་དཀའ་ཐུབ་ནི་རྙོག་པ་རྣམ་པར་སྤངས་པ་མཆོག་ཏུ་ཆོག་ཤེས་པ། ||| “ ‘For mendicants, contentment is the supreme form of worship because monks who are content and have few wishes are extremely beautiful, proper, and splendid. They keep to a single seat, wear nothing but discarded rags, and travel alone. They reside in mountainous retreats, in caves, upon seats of straw, and in charnel grounds. They are content with filling just one third of their stomach, and they travel the land in complete anonymity. Even among their relatives, friends, and family, they accept only alms. They keep only worn-out alms bowls. With insight, they give up error. They renounce places where they would receive worship. They watch the path in front of them, keep their gaze within the distance of a yoke, and do not let their eyes wander. They do not consume only delicious food. They daily drink only water that has not been chilled. They stay no longer than three or seven days at a given location. They do not keep beds that are decorated with gold, bronze, or silver. They give up looking for ways to return to their past home, friends, and family members. They will not seek alms or dwellings from great kings, and they give up loitering by the gate to the palace. If they set forth as people of high birth, they refrain at all times from mentioning that. They tell things as they are, and their words are clear and sincere. Such monks observe their vows and austerities without any fault, and they are perfectly content.
མཆོག་ཏུ་འདོད་པ་ཆུང་བས་ནི་བདུད་ཀྱི་འཆིང་བ་རྣམས་གཅོད་པར་ནུས་སོ། ||| Content and having only few wishes, they successfully cut through the bonds of the māras.
།འདོད་པ་ཆེ་བ་རྣམས་ནི་སྡུག་བསྔལ་གྱི་ཚུལ་ཁྲིམས་དང་ལྡན་པ་དགེ་སློང་གི་ཆ་བྱད་འཛིན་པ་ནད་དང་འདྲ་བ་རྐུན་མ་ཡིན་ཏེ། ||| The greedy, on the other hand, observe a discipline that leads to pain, and although they maintain the demeanor of a monk, it is like a disease.
ལྷ་དང་བཅས་པའི་མིའི་ཚོགས་ཀྱི་སྐྱེ་དགུ་རྣམས་ཉེ་བར་མགུ་བར་མི་བྱེད་པའི་སྡིག་པ་ཅན་ཡིན་ནོ། ||| They are thieves involved in negative actions, and they will not receive the veneration of human society or the gods.
།དགེ་སློང་རྣམས་ཀྱང་ཆོག་ཤེས་པ་དང་ལྡན་པ་དང་འདོད་པ་ཆུང་བའི་དགེ་སློང་ནི་དགེ་སློང་ཡིན་ནོ། ||| “ ‘Monks are those who are content and have few wishes.
།སྒྲ་དང་རེག་བྱ་དང་རོ་དང་གཟུགས་དང་དྲི་དང་ཡུལ་རྣམས་ལ་དེའི་དབང་པོ་རྣམས་རྒྱུ་བར་མི་བྱེད་དོ། ||| Their senses do not pursue objects—sounds, textures, tastes, forms, or scents.
།ཕྱི་ཁྱམས་དག་ཏུ་ཉལ་བ་དང་སེམས་ཅན་ཐམས་ཅད་ལ་ཕན་པར་གནས་པའི་ལུས་དང་ཆོས་དང་ཚོར་བ་དང་སེམས་རྣམས་ལ་དྲན་པ་ཉེ་བར་གཞག་པ་རྗེས་སུ་རྟོགས་པ་དང་། ཀུན་ནས་མཆོག་ཏུ་བློ་རྣམ་པར་བསྡུས་པ་དང་། འཁོར་བའི་ཚོགས་རྣམས་ལས་དབང་པོ་གཅིག་ཏུ་བསྡམས་པ་དང་། ཆོག་ཤེས་པ་ནི་དགེ་སློང་དུ་བརྗོད་པ་ཡིན་ཏེ། ||| They sleep in the outer yard and, for the benefit of all beings, they remain mindful of the body, phenomena, sensations, and the mind. Their minds are thoroughly composed, and their faculties wholly guarded against all the factors of cyclic existence.
ཇི་སྲིད་དུ་འདོད་པ་ཆུང་བར་གྱུར་པ་དེ་དག་རྣམས་ནི་ཁྱིམ་པའམ་རབ་ཏུ་བྱུང་བ་ཡིན་ཡང་རུང་སྟེ་བག་མེད་པར་མི་འགྱུར་རོ། ||| Whoever possesses contentment can be considered a monk, because as long as he has few wishes, he will not be careless, regardless of whether he is a householder or a monastic.’
།དེ་ནས་དེའི་ཚེ་ན་འཐབ་བྲལ་གྱི་བདག་པོ་དེས་ཚིགས་སུ་བཅད་པའི་དབྱངས་བརྗོད་པ། ཇི་ལྟར། ||| “At that point the ruler of the Heaven Free from Strife will utter these verses:
བག་ཡོད་འབྲས་བུ་ཐར་པ་ཡིན། ||| “ ‘Liberation is the fruit of carefulness,
།དམྱལ་བར་མི་རྣམས་བག་མེད་པས། ||| Whereas people enter the hells due to carelessness. That is how the difference
།བག་ཡོད་བག་མེད་པ་དག་གི། །འདིས་ནི་ཁྱད་པར་བརྗོད་པ་ཡིན། ||| Between carefulness and carelessness is explained.
།གང་ཡང་བཅིངས་དང་ཐར་པ་ཡི། ||| “ ‘The difference between bondage and liberation,
།ཁྱད་པར་གང་ནི་ཟླ་དང་མུན། ||| Or moonlight and darkness— Such is precisely how different
།བག་ཡོད་བག་མེད་དེ་དག་གི། །ཁྱད་པར་འདི་ཉིད་ཁོ་ན་ཡིན། ||| Are carefulness and carelessness.
།བདེ་བ་འདོད་པ་ཆུང་ལ་མཐོང་། ||| “ ‘Happiness is found by those with few wishes,
།སྡུག་བསྔལ་འདོད་ཆེན་མི་རྣམས་ཡིན། ||| While the greedy encounter suffering.
།བདེ་སྡུག་མཚན་ཉིད་འདི་ཡིན་པར། །ཡོངས་སུ་རྟོག་པར་བྱེད་པས་བཤད། ||| It is taught that the characteristics Of happiness and suffering can be understood in this way.
།རྟག་ཏུ་འདོད་ཆེན་མི་རྣམས་ཀྱི། ||| “ ‘Those who are always greedy
།མེ་ནི་སྙིང་གནས་རང་བཞིན་ཡིན། ||| Have a fire burning in their hearts.
།གང་དུ་འདོད་མེད་ཁྲུས་བྱེད་པའི། ||| But those without greed are like a lake
།འདོད་པ་ཆུང་བ་བསིལ་བའི་མཚོ། ||| Of purifying cool water.
།ཇི་ལྟར་མེ་ནི་བུད་ཤིང་གིས། ||| “ ‘Fire will not be extinguished
།རབ་ཏུ་ཞི་བར་འགྱུར་མ་ཡིན། ||| By adding more fuel.
།དེ་བཞིན་འདོད་ཆེན་མི་རྣམས་ནི། ||| Likewise, greedy people
།ནོར་གྱིས་གང་བར་འགྱུར་མ་ཡིན། ||| Cannot be satisfied with more wealth.
།འདོད་པ་ཅན་ལ་ཉིན་དང་ནི། །མཚན་མོ་མེད་པར་བདེ་མི་འགྱུར། ||| “ ‘The greedy are unhappy Throughout day and night.
།སྐྱེས་བུ་འདོད་པ་ཆེ་བ་གང་། ||| Greedy people remain pained
།སྲེད་པའི་ཟུག་རྔུས་རྣམ་པར་གནས། ||| By the pangs of craving.
།རྒྱལ་པོ་ནོར་གྱིས་ངོམས་མེད་པར། ||| “ ‘Kings with insatiable craving for wealth
།བྱེ་བ་ཕྲག་ཏུ་ཤི་ཞིང་སོང་། ||| Have died and disappeared by the millions,
།གཞན་ཡང་མང་པོར་འགྲོ་བར་འགྱུར། ||| And still many more will pass.
།དེ་ཕྱིར་འདོད་པ་ཆུང་བ་བདེ། །དེ་ལྟར་འཐབ་བྲལ་གྱི་མངའ་བདག་དེ་པད་མའི་སྙིང་པོ་ལ་ལེགས་པར་གནས་ཏེ། ||| Therefore, happy are those who have few wishes.’ “In this way, residing in the center of a lotus flower, the ruler of the Heaven Free from Strife instructs Auspicious Time and the speaking swans. (7) Fondness for Friends and Relatives Is Remedied by Staying in Foreign Lands
།དུས་བཟངས་དེ་དང་སྨྲ་བ་པོའི་ངང་པ་དེ་དག་རྣམས་ལ་འཆད་པར་བྱེད་དོ། །གཞན་ཡང་འཐབ་བྲལ་གྱི་བདག་པོ་དེ་ཉིད་ཀྱིས་བག་མེད་པ་དེའི་སྐྱོན་རྣམས་གཟུང་བར་བྱ་བའི་དོན་དུ་སྨྲ་བ་པོའི་བྱ་དེ་དག་རྣམས་ཀྱི་མདུན་དུ་དང་དུས་བཟངས་དེའི་སྔོན་དུ་ཡང་། བཅོམ་ལྡན་འདས་འོད་སྲུང་གིས་གསུངས་པའི་མདོ་སྔོན་གྱི་ལྷའི་དྲུང་ནས་ཐོས་པ་རྣམས་འཆད་པ་ནི་ཇི་ལྟར་ཆོས་དྲི་མ་ཅན་རྣམས་བསྟན་པ་གང་ཡིན་པ་དེ་ནི་དཀར་པོའི་ཆོས་རྣམས་ཀྱིས་རབ་ཏུ་གཞོམ་པར་བྱའོ། ||| “Next, before the speaking swans and Auspicious Time, Musulundha will continue delivering the discourse of the blessed Kāśyapa just as he has heard it from another god, so that they can comprehend the flaws of carelessness:
།དེ་ལ་དྲི་མ་ཅན་གྱི་ཆོས་བདུན་པ་བསྟན་པར་བྱ་བ་རྣམས་དང་། དཀར་པོའི་ཆོས་རྣམས་ཀྱིས་གཞོམ་པར་བྱ་བ་དང་། འདི་དག་ཀྱང་གང་དག་ཞེ་ན། ||| ‘The factors that were shown to be stained must be crushed by means of unblemished factors. What is the seventh factor that is shown to be stained and that is to be conquered by unblemished qualities?
འདི་ལྟ་སྟེ་གཉེན་བཤེས་བལྟ་བ་ལ་མངོན་པར་དགའ་བ་ནི་བྱེས་སུ་ཡུན་རིང་པོར་གནས་པས་སོ། ||| It is fondness for seeing friends and family and staying with them on extended visits.
།དེ་ལྟར་ཡང་གཉེན་བཤེས་དང་གྲོགས་པོ་དང་། རང་གི་སྐྱེ་བོ་རྣམས་དང་ཕྲད་པ་ལ་མངོན་པར་དགའ་བའི་དགེ་སློང་ནི། ||| A monk who delights in meeting friends, family, and relatives will become obsessed with that.
བློ་དེ་ལ་སོང་བར་གྱུར་པ་དང་དེ་རྗེས་སུ་སྒྲུབ་པར་བྱེད་པ་དང་དེ་ལས་རབ་ཏུ་འབྱམས་པར་གྱུར་པ་དང་དེས་བྲེལ་དོག་ཏུ་གྱུར་ནས། ཉིན་མོ་དང་མཚན་མོ་མེད་པར་ཡང་བསམ་གཏན་བློ་ལ་བྱེད་པ་ཡང་མ་ཡིན་ནོ། ||| Doing just that, he will become busy and preoccupied, and whether by day or by night, he will not be concerned with concentration.
ཁ་ཏོན་ཡང་མི་བྱེད་ཅིང་བླ་མ་ལ་ལེགས་པར་བསྟེན་པའི་དབང་གིས་གནས་པ་ཡང་མ་ཡིན་ནོ། ||| He will not practice recitation and will not attend to his teachers.
།དཀོན་མཆོག་གསུམ་ལ་མཆོད་པ་རྗེས་སུ་སྒྲུབ་པར་མི་བྱེད་དོ། ||| He will not worship the Three Jewels.
།འཇིག་རྟེན་ཕ་རོལ་གྱི་ལུས་ཀྱི་ལས་སུ་བྱ་བ་རྣམས་རྗེས་སུ་དྲན་པར་བྱེད་པ་དང་གཞན་ལ་སྟོན་པ་དང་། ངག་གི་ལས་དང་ཡིད་ཀྱི་ལས་དང་རྣམ་པ་གསུམ་བྱེད་པ་མ་ཡིན་གྱི། ||| He will not keep in mind, or teach to others, the physical actions that are associated with what lies beyond the world. Nor will he do so with respect to verbal or mental acts because his mind is distracted elsewhere.
བློ་དེ་ལ་སོང་བ་འབའ་ཞིག་ཏུ་ཟད་དོ། །ཇི་ལྟ་བ་བཞིན་དུ་ང་དང་ངའི་གཉེན་བཤེས་རྣམས་དང་གྲོགས་པོ་དང་རང་གི་སྐྱེ་བོ་རྣམས་མ་མཐོང་ན། དེ་དག་རྣམས་ཀྱི་ཁྱིམ་གྱི་བྱ་བ་ནི་ཅི་དང་ཅི་ལྟར་གྱུར་རམ་ཡང་དེ་དག་གི་གསོན་པ་རྣམས་ཀྱང་ཇི་ལྟར་གྱུར་རམ་ཞེས། དེ་དེ་ལྟར་ཡིད་ལ་བྱས་ནས་མྱ་ངན་གྱིས་གཟིར་བར་འགྱུར་ཏེ། ||| Thus, if he does not see his relatives, friends, or family, he may think, “I wonder what is going on in their homes” or “I wonder what has happened to those who live there.” Thinking in such ways, he would be stricken by suffering.
གང་གི་དོན་དུ་དེ་ལྟ་བུ་རྣམས་ལས་ངེས་པར་གྲོལ་བར་བྱ་བའི་དོན་དུ་ནགས་སུ་གནས་པར་གྱུར་པ་ལས་དེ་ཉིད་ལ་རྗེས་སུ་འཇུག་པར་བྱེད་དོ། ||| Although he entered the forest to become free from suffering, he now ends up returning to that very situation.
།བློ་གྲོས་ངན་པར་གྱུར་པ་མི་གཡོ་བའི་མི་མྱ་ངན་ཅན་སྐྱེ་བ་དང་རྒ་བ་དང་། ན་བ་དང་འཆི་བས་བྱས་པའི་རང་གི་མྱ་ངན་རྣམས་ཡོངས་སུ་བཏང་ནས། ||| Such miserable people with inferior intelligence and fickle minds will then give up concerns for their own suffering in terms of birth, old age, sickness, and death, and instead become pained by the suffering of others.
གཞན་གྱི་མྱ་ངན་གྱིས་མྱ་ངན་དུ་བྱེད་པ་དང་། དེ་མི་མཉམ་པ་དང་མཉམ་པའི་རང་གི་སྐྱེ་བོ་རྣམས་དང་གཉེན་བཤེས་རྣམས་དང་ཕྲད་པའི་དྲ་བ་འདིར་ངེས་པར་འཇུག་པར་བྱེད་དོ། ||| In this way, they will become trapped in the net of associating with all sorts of family members and friends.
།དེ་ནས་ཡང་དེས་གཉེན་བཤེས་དེ་རྣམས་མངོན་པར་མཐོང་ནས་གདུང་བས་གདུངས་ཤིང་གཞན་གྱི་ཟས་བསོད་པ་རྣམས་ཟ་བས། ||| “ ‘When they meet their friends and family, they are overcome by desire, and thus they live on the well-cooked meals of others.
ཁྱིམ་ནས་ཁྱིམ་རྣམས་སུ་ཕེའུ་འདེབས་པའི་སྟོན་མོ་རྣམས་ལ་མངོན་པར་དགའ་བར་འགྱུར་རོ། ||| They become obsessed with circulating from home to home, delighting in any invitation to a feast.
།ཁྱིམ་དེ་དང་འབྲེལ་པར་གྱུར་པའི་དོན་དག་ནི་བྱེད་ལ་ཉན་པར་ཡང་བྱེད་དོ། ||| They will then become involved in the matters of those households and listen to all that is happening.
།དེས་དེ་དག་རྣམས་ཡིད་ལ་བྱས་ནས་དེ་དག་རྣམས་ལས་གཞན་ཡང་བྱེད་དོ། ||| Keeping such things in mind, they will increase their involvements in them.
།དེ་ཁྱིམ་གྱི་འཚོ་ཆིས་རྣམས་བྱེད་པས་རང་གི་དོན་རྣམས་ལས་ཡོངས་སུ་ཉམས་པར་འགྱུར་རོ། ||| As they engage in the livelihoods of householders, they will fail with respect to their own objectives.
།འཇིག་རྟེན་ཕ་རོལ་ཏུ་གྱུར་པ་རྣམས་ཀྱི་འཇིགས་པ་དག་སེམས་པར་མི་བྱེད་དོ། ||| They will not keep in mind the terrors that await beyond this world.
།དམྱལ་བ་དང་ཡི་དགས་དང་དུད་འགྲོའི་འགྲོ་བ་པ་རྣམས་སུ་འཆི་འཕོ་བ་དང་སྐྱེ་བ་རྣམས་སེམས་པར་མི་བྱེད་དོ། ||| They will not keep in mind the process of death and rebirth into the realms of hell beings, starving spirits, and animals.
།འདིའི་འཇིགས་པ་རྣམས་ཀྱང་སེམས་པར་མི་བྱེད་དེ། ||| They will fail to keep the terrors of those realms in mind.
རྒ་བ་དང་ན་བ་དང་འཆི་བ་དང་སྡུག་པ་རྣམས་དང་བྲལ་བ་དང་མི་སྡུག་པ་རྣམས་དང་ཕྲད་པ་དང་། སྡུག་པ་དང་ཡིད་དུ་འོང་བ་རྣམས་ཐམས་ཅད་ཀྱང་ཐ་དད་དུ་འགྱུར་བ་མེད་པར་འགྱུར་བ་རྣམ་པར་འབྲལ་བ་སོ་སོར་གནས་པ་རྣམས་སེམས་པར་མི་བྱེད་དོ། ||| They will disregard the facts of aging, disease, and death, separation from one’s beloved, encountering the unpleasant, and the way that everything delightful and attractive is lost, disappears, and must be parted with.
།དེ་སྲིད་པ་དེ་སྲིད་དུ་གཉེན་དང་གྲོགས་པོ་རྣམས་ཀུན་ཏུ་སྟེན་པར་བྱེད་དོ། ||| Instead, they will spend all their time obsessed with their friends and family.
།གཉེན་བཤེས་དང་གྲོགས་པོ་རྣམས་ལྟ་བར་བྱེད་པ་མངོན་པར་འདོད་པ་འཐུན་པར་བྱེད་པ་གཞན་གྱི་ཟས་ཟ་བ་གཞན་གྱི་ཁྱིམ་སྒོ་སྟོན་པར་བྱེད་པ་གང་ཡིན་པ་རྣམས་ནི་ལུས་ཞིག་ནས། ངན་སོང་དང་ངན་འགྲོ་ལོག་པར་ལྟུང་བ་དམྱལ་བ་རྣམས་སུ་སྐྱེ་བར་འགྱུར་རོ། ||| Those who crave seeing friends and family, eating the food of others, and showing up at the doorsteps of others will suffer an inauspicious fall when their bodies disintegrate, and they will be born among hell beings, starving sprits, and animals.
།ཡི་དགས་ཀྱི་ཡུལ་རྣམས་དང་དུད་འགྲོའི་སྐྱེ་གནས་རྣམས་སུ་ཡང་ངལ་དུབ་དང་བཅས་པའི་འགྲོས་བླ་ལྷག་པར་གྱུར་པས་དེ་སྲིད་དུ་ཡོངས་སུ་འཁྱམ་མོ། ||| In the realms of starving spirits, or as they live the life of an animal, they will be forced to roam under great exhaustion for as long as they live.
།དམྱལ་བ་རྣམས་སུ་སྐྱེས་པ་ན་ཡང་ཚོར་བ་དྲག་པོ་རྣམས་ཀྱིས་ཟིལ་གྱིས་མནན་པ་རྣམས་ལ་གྲོགས་པོས་མ་ཡིན་ཞིང་གཉེན་བཤེས་རྣམས་ཀྱིས་ཀྱང་བསིལ་བར་གྱུར་པའི་དངོས་པོ་རྣམས་ནི་ཅུང་ཟད་ཀྱང་མི་བྱེད་དོ། ||| If they are born in the hells, they will be overcome by excruciating pain, and there will be nothing whatsoever that their friends and family can do to cool the burning.
།དེའི་ཕྱིར་ན་དགེ་སློང་རྣམས་ཐམས་ཅད་ཀྱིས་ཚུལ་རྣམས་ཐམས་ཅད་ནས་དམྱལ་བ་དང་ཡི་དགས་དང་དུད་འགྲོའི་འགྲོ་བ་པའི་འཇིགས་པས་འཇིགས་པ་རྣམས་ཀྱིས་ཀྱང་གཉེན་བཤེས་དང་གྲོགས་པོ་རྣམས་དང་ཕྲད་པར་འདོད་པར་མི་བྱའོ། །དེ་དག་རྣམས་དང་འདུ་འཚོག་བྱས་པས་ཀྱང་ནི་དོན་མ་ཡིན་པ་དྲག་པོ་རྣམས་བྱེད་པར་འགྱུར་རོ། ||| “ ‘Therefore, being fearful of the terrors in the realms of hell beings, starving spirits, and animals, monks should not spend long spells with their friends and family, since meeting with such people will create great problems.
།དེ་ལ་དམིགས་པར་བྱེད་པ་དང་། དོན་དེས་ཀྱང་གང་གི་ཕྱིར་སྲེད་པ་རྣམས་ཟད་པར་བྱ་བའི་དོན་དུ་རབ་ཏུ་བྱུང་བ་ལས་སྲེད་པ་དེ་ཉིད་ལ་སྲེད་པས་སྟེན་པར་བྱེད་པ་ན། དེ་ནི་མཆོག་ཏུ་ཡང་བྱིས་པར་གྱུར་པ་རྣམས་ཀྱིས་བསྟེན་པ་ཡིན་ནོ། །གང་དག་ཁོ་ན་བཅོམ་ནས་རབ་ཏུ་བྱུང་བ་ཡང་དྲ་བ་དེ་ཉིད་དུ་བློ་འཇུག་པ་ནི་བློ་གྲོས་དམན་པ་ཡིན་ཏེ། ||| Now, if those who have become aware of this and subsequently taken ordination in order to end that type of craving then seek out their company due to that same type of craving, this would be extremely infantile behavior.
ཡང་འགའ་ཞིག་ཇི་ལྟར་མེའི་འཇིགས་པ་སྤངས་པ་ལས་མེ་དེ་ཉིད་དུ་ཉེ་བར་སྟེན་པར་བྱེད་དོ། ||| They took ordination to overcome that trap, and yet their minds keep circling there—such people are mentally deranged, like people rushing toward fire though they have, in fact, shunned fire because they fear it.
།དེ་བཞིན་དུ་ཁྱིམ་གྱི་གནས་རྣམས་འཇིགས་ནས་སྤངས་པ་ཡང་འཇིགས་པ་དེ་ཉིད་དུ་ཉེ་བར་འཇུག་པར་བྱེད་དོ། །དེ་བཞིན་དུ་གང་འགའ་ཞིག་གཉེན་བཤེས་རྣམས་ཀྱི་ཀླུང་ཆེན་པོར་ཉེ་བར་འགྲོ་ཞིང་། ||| Such are the ways of those who have renounced the household due to fear but who nonetheless continue going there.
སླར་ཡང་དེ་དག་རྣམས་ཉིད་ལ་ཉེ་བར་སྟེན་པར་བྱེད་པ་དེ་དག་རྣམས་ནི་མིག་མེད་པ་དང་བློ་གྲོས་བཀབ་པ་དང་དབང་པོ་རྣམས་ཀུན་ནས་མ་བསྡམས་པ་ཡིན་ནོ། ||| Those who walk directly into the storm of friends and family in order to once more linger among them are blind and mentally impaired, and their senses are unrestrained.
།དེ་ལྟར་ཀུན་ནས་ཉོན་མོངས་པ་ཅན་གྱི་ཆོས་འདི་དག་ཆོས་གང་གིས་རབ་ཏུ་གཞོམ་པར་བྱ་ན། ||| “ ‘How are such factors of affliction to be overcome?
འདི་ལྟ་སྟེ་གང་ཤེས་རབ་ཅན་རྣམས་ཀྱིས་ཀྱང་སྤང་བ་དང་གཟུང་བར་ཡང་ནུས་པ་མ་ཡིན་ཏེ། དེ་ཡུན་རིང་དུ་བྱེས་ན་གནས་པ་ལ་མངོན་པར་དགའ་བ་རྣམས་ཀྱིས་ནི་རབ་ཏུ་གཞོམ་པ་དང་གཟུང་བར་ཡང་ནུས་པ་ཡིན་ནོ། ||| Intelligent people may not succeed in apprehending and overcoming those factors, but people who stay away from their homes for a long time will succeed in apprehending and overcoming them.
།རིང་དུ་འགྲོ་ན་ལམ་ལ་གནས་པ་ཡང་འདི་ལྟ་སྟེ་བློ་གྲོས་ཞན་པ་རྣམས་དང་གཉེན་པོ་གཞན་གྱིས་ཀྱང་གཉེན་བཤེས་དང་གྲོགས་པོ་དང་རང་གི་སྐྱེ་བོ་རྣམས་ལ་གདུང་སེམས་སོ་སོར་བཟློག་པར་བྱ་བར་མི་ནུས་ཀྱིས། དེ་ཡང་ཡུན་རིང་དུ་འགྲོན་དུ་འགྲོ་བར་གྱུར་པས་ཐ་མར་ནི་གདུང་སེམས་དེ་དག་རྣམས་རབ་ཏུ་འཇོམས་ཏེ། ||| When on a long journey, dim-witted people may not be able to overcome the longing for family, friends, and relatives by means of any alternative remedy, yet if they continue traveling for a long time, they will eventually quell that yearning.
བརྩེ་བའི་སེམས་ནི་གནས་སྐབས་རྣམས་ཐམས་ཅད་དང་ཐམས་ཅད་དུ་མ་ཕྲད་པས་རབ་ཏུ་འཇོམས་པ་ཇེ་དང་པོར་ནི་གདུང་སེམས་དེ་ཉིད་ཀྱི་གཉེན་པོ་རྣམས་གནས་སྐབས་ཐམས་ཅད་དུ་རིག་པར་འགྱུར་བ་འདི་ནི་འདི་ལྟ་སྟེ། ||| If no situation for such affection arises, then the yearning can eventually be conquered by continually bringing to mind the fact that all meeting ends in parting.
འདུས་པ་རྣམས་ཐམས་ཅད་ཀྱི་མཐའ་ནི་འབྲལ་བ་སྟེ། འཆི་བའི་ཡུལ་དང་དུས་རྣམས་སུ་འགའ་ཞིག་གིས་ཀྱང་འགའ་ཞིག་དམིགས་པར་འགྱུར་བའམ་ཡོངས་སུ་སྐྱོབ་པར་འགྱུར་བ་ཡང་མ་ཡིན་ནོ། ||| At the time and place of one’s death, there is no one who can offer any support or protection.
